Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944
100.333343333333,0,0,0,0,0,0,0,0,,None,101.340619800213,0,0,0,0,0,0,0,0,3285251,0,0,0,4225783,0,0,0,7558655,0
103.00371,0,0,0,0,0,0,0,0,,None,104.01098646688,0,0,0,0,4016940,0,2600138,0,0,0,0,0,0,0,0,0,0,0
111.008795,5,4,3,0,0,0,0,0,CHO,Lignin,112.01607146688,-0.245252128861842,1,0,0,8356169,0,4593700,0,0,0,0,0,0,0,0,0,0,0
113.02441,5,6,3,0,0,0,0,0,CHO,Lignin,114.03168646688,0.0665781611479099,1,0,0,0,0,0,0,0,0,0,0,0,2801475,0,0,0,0
125.02441,6,6,3,0,0,0,0,0,CHO,Lignin,126.03168646688,0.0602389780728276,1,0,0,0,0,0,0,0,0,0,0,0,2424792,0,0,0,0
129.019345,5,6,4,0,0,0,0,0,CHO,Tannin,130.02662146688,-0.0983327863502046,1,0,0,3652353,0,3725057,0,0,0,0,0,0,0,0,0,0,0
130.99862,0,0,0,0,0,0,0,0,,None,132.00589646688,0,0,0,0,3372727,0,0,0,0,0,0,0,0,0,0,0,0,0
133.05065,5,10,4,0,0,0,0,0,CHO,Carb,134.05792646688,-0.131715299885477,1,0,0,0,0,2526711,0,0,0,0,0,0,0,0,0,0,0
137.00603,0,0,0,0,0,0,0,0,,None,138.01330646688,0,0,0,0,0,0,0,0,4311542,0,0,0,0,0,0,0,0,0
142.50211,0,0,0,0,0,0,0,0,,None,143.50938646688,0,0,0,0,0,0,0,0,4074724,0,0,0,0,0,0,0,0,0
