,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,State,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944
9940,669.121666666667,0,0,0,0,0,0,0,0,,None,670.128943133547,0.0,8,,0,0,0,0,0,0,0,0,0,0,2651866,2811333,3449473,0,0,0
9941,669.12501,35,26,14,0,0,0,0,0,CHO,ConHC,670.1322864668799,-0.0461444411967728,7,H-,0,0,0,0,0,0,5580467,0,0,0,0,0,0,0,0,0
9942,669.14618,32,30,16,0,0,0,0,0,CHO,Lignin,670.15345646688,-0.10676700871452499,8,H-,0,0,0,0,0,0,3542714,0,0,0,0,0,0,0,0,0
9943,669.1614825,36,30,13,0,0,0,0,0,CHO,Lignin,670.16875896688,-0.175950577165542,8,H-,0,0,0,0,0,0,4556480,2887650,4057925,3495963,0,0,0,0,0,0
9944,669.1732,22,38,23,0,0,0,0,0,CHO,Carb,670.18047646688,-0.13270870010539002,9,H-,0,0,0,0,0,0,0,2871269,0,0,0,0,0,0,0,0
9945,669.1770849999999,0,0,0,0,0,0,0,0,,None,670.18436146688,0.0,8,,0,0,0,0,0,0,0,3161062,0,3511329,0,0,0,0,0,0
9946,669.182542,33,34,15,0,0,0,0,0,CHO,Lignin,670.18981846688,-0.0716871228650756,7,H-,0,0,0,0,0,0,2952904,0,3300171,2970659,4046575,0,4686484,0,0,0
9947,669.1938700000001,0,0,0,0,0,0,0,0,,None,670.20114646688,0.0,10,,0,0,0,0,0,0,0,3203051,3453775,0,0,0,0,0,0,0
9948,669.197801666667,37,34,12,0,0,0,0,0,CHO,Lignin,670.205078133547,-0.07695696162008099,6,H-,0,0,0,0,0,0,4308686,6295532,6212432,5937192,5078772,0,5376665,0,0,0
9949,669.213306666667,0,0,0,0,0,0,0,0,,None,670.2205831335469,0.0,7,,0,0,0,0,0,0,0,4491248,2972501,2897965,0,0,0,0,0,0
9950,669.218758333333,34,38,14,0,0,0,0,0,CHO,Lignin,670.226034800213,0.18072856088070002,6,H-,0,0,0,0,0,0,0,4331506,4787030,3282991,7298811,0,10887839,2764818,0,0
9951,669.2341325,38,38,11,0,0,0,0,0,CHO,Lignin,670.2414089668799,0.0046192611818946395,7,H-,0,0,0,0,0,0,2965211,5171190,4107099,5464116,0,0,0,0,0,0
9952,669.255158,35,42,13,0,0,0,0,0,CHO,Lignin,670.26243446688,0.159592145726261,5,H-,0,0,0,0,0,0,0,2735100,2900833,3198011,5971719,0,5290667,0,0,0
9953,669.27046,39,42,10,0,0,0,0,0,CHO,Lignin,670.27773646688,0.0911597039883504,6,H-,0,0,0,0,0,0,0,0,3159910,0,0,0,0,0,0,0
9954,669.32328,0,0,0,0,0,0,0,0,,None,670.33055646688,0.0,6,,0,0,0,0,0,0,0,0,0,0,19126046,0,10666688,0,0,0
9955,669.328031666667,37,50,11,0,0,0,0,0,CHO,Lignin,670.335308133547,0.00643641093495371,5,H-,0,0,4980721,0,3864307,0,0,0,0,0,33167136,2737675,22581954,0,2943294,0
9956,670.15404,32,30,16,0,0,0,0,0,CHO,Lignin,670.153491420091,-0.158924025474556,8,.-,0,0,0,0,0,0,0,0,0,0,3332154,0,2741188,0,0,0
9957,670.19042,33,34,15,0,0,0,0,0,CHO,Lignin,670.189871420091,-0.15069936871655898,7,.-,0,0,0,0,0,0,0,0,0,0,3692614,0,3847120,0,0,0
9958,670.2222,33,38,14,0,1,0,0,0,CHO,Lignin,671.22947646688,0.0511004376008845,5,H-,0,0,0,0,0,0,0,0,0,0,0,0,3937242,0,0,0
9959,670.26318,35,42,13,0,0,0,0,0,CHO,Lignin,670.262631420091,-0.134252733670157,7,.-,0,0,0,0,0,0,0,0,0,0,2941023,0,4764647,0,0,0
9960,670.331375,36,50,11,0,1,0,0,0,CHO,Lignin,671.3386514668799,0.0235633983371593,4,H-,0,0,0,0,0,0,0,0,0,0,12191863,0,9724924,0,0,0
9961,671.0847,0,0,0,0,0,0,0,0,,None,672.0919764668799,0.0,7,,0,0,0,0,0,0,2936199,0,0,0,0,0,0,0,0,0
9962,671.08907,30,24,18,0,0,0,0,0,CHO,Lignin,672.0963464668799,-0.122748294017739,10,H-,0,0,0,0,0,0,2662792,0,0,0,0,0,0,0,0,0
9963,671.1044,34,24,15,0,0,0,0,0,CHO,ConHC,672.11167646688,-0.23264731968250302,9,H-,0,0,0,0,0,0,5161358,0,0,0,0,0,0,0,0,0
9964,671.1255,31,28,17,0,0,0,0,0,CHO,Lignin,672.1327764668799,-0.188939424439751,7,H-,0,0,0,0,0,0,3436950,0,0,0,0,0,0,0,0,0
9965,671.1406025,35,28,14,0,0,0,0,0,CHO,Lignin,672.14787896688,0.0396360993652448,7,H-,0,0,0,0,0,0,5409180,0,3177882,0,3132811,0,3813625,0,0,0
9966,671.15253,21,36,24,0,0,0,0,0,CHO,Other,672.15980646688,-0.22967883286601398,7,H-,0,0,0,0,0,0,0,0,2667933,0,0,0,0,0,0,0
9967,671.161845,32,32,16,0,0,0,0,0,CHO,Lignin,672.1691214668799,-0.128667142161507,7,H-,0,0,0,0,0,0,3297699,0,0,0,2860435,0,0,0,0,0
9968,671.17305,0,0,0,0,0,0,0,0,,None,672.1803264668799,0.0,7,,0,0,0,0,0,0,0,0,2710947,0,0,0,0,0,0,0
9969,671.17698,36,32,13,0,0,0,0,0,CHO,Lignin,672.18425646688,0.051544825109727,7,H-,0,0,0,0,0,0,4927913,5517840,5053861,4291266,3198360,0,3149061,0,0,0
9970,671.1886599999999,22,40,23,0,0,0,0,0,CHO,Carb,672.19593646688,0.150440391689055,6,H-,0,0,0,0,0,0,0,0,0,3101381,0,0,0,0,0,0
