Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941
181.049713333333,0,0,0,0,0,0,0,0,,None,181.049164753424,0,0,0,0,0,0,0,0,0,9095624,2613917,9937871,0,0,0,0,0,0
181.05033,0,0,0,0,0,0,0,0,,None,181.049781420091,0,0,0,0,0,0,0,0,0,0,2638493,0,0,0,0,0,0,0
181.050637325,0,0,0,0,0,0,0,0,,None,181.050088745091,0,0,19493382,51211640,36166476,4692790,7487441,6951464,6195033,102804936,35650204,115895248,36850168,11404817,4352826,4504861,9807690,39955864
181.050926666667,0,0,0,0,0,0,0,0,,None,181.050378086757,0,1,0,4402553,0,0,0,0,0,0,3548829,0,0,0,0,0,0,3521944
181.07176,0,0,0,0,0,0,0,0,,None,181.071211420091,0,0,0,11593088,2985300,0,0,0,0,4890575,0,8931286,0,0,0,0,0,7103903
181.08702,0,0,0,0,0,0,0,0,,None,181.086471420091,0,0,0,0,0,0,0,0,0,5318099,3241128,6949851,3476995,0,0,0,0,0
182.01759,0,0,0,0,0,0,0,0,,None,182.017041420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3173063
182.022065714286,8,6,5,0,0,0,0,0,CHO,ConHC,182.021517134376,0.0338900798910959,1,0,3166120,2914151,0,0,0,0,9028340,2517441,8393996,2999332,0,0,0,0,3695305
182.045873333333,0,0,0,0,0,0,0,0,,None,182.045324753424,0,0,0,3114671,0,0,0,0,0,3163644,0,3047700,0,0,0,0,0,0
182.053981428571,0,0,0,0,0,0,0,0,,None,182.053432848662,0,0,0,4240050,4000881,0,0,0,0,10145534,3563978,10683670,3325230,0,0,0,0,4076243
182.058465,9,10,4,0,0,0,0,0,CHO,Lignin,182.057916420091,-0.041803678164552,1,0,0,0,0,0,0,0,3680512,2435020,5619480,3857711,0,0,0,0,0
183.029898,0,0,0,0,0,0,0,0,,None,183.029349420091,0,0,5293666,22888424,8109458,0,0,0,0,14057523,8695030,20172380,7198818,3213905,0,0,3650876,28450828
183.04515,0,0,0,0,0,0,0,0,,None,183.044601420091,0,0,0,0,0,0,3103816,0,0,0,0,0,0,0,0,0,0,0
183.066284444444,0,0,0,0,0,0,0,0,,None,183.065735864535,0,0,3196013,4831221,4850077,0,0,0,0,6306878,9143553,14261864,6262893,0,0,0,2425669,3629591
183.10267,0,0,0,0,0,0,0,0,,None,183.102121420091,0,0,0,0,0,0,0,0,0,3586634,2939148,3630709,0,0,0,0,0,0
184.00133,7,4,6,0,0,0,0,0,CHO,ConHC,184.000781420091,0.0350047940525339,1,0,0,0,0,0,0,0,2439020,0,0,0,0,0,0,0,0
184.03772,8,8,5,0,0,0,0,0,CHO,Lignin,184.037171420091,0.0105805226193477,1,0,0,0,0,0,0,0,5564792,4421170,8346548,2948006,0,0,0,0,0
185.009165,0,0,0,0,0,0,0,0,,None,185.008616420091,0,0,0,0,0,0,0,0,0,3317945,0,2962182,0,0,0,0,0,0
185.0277775,0,0,0,0,0,0,0,0,,None,185.027228920091,0,0,2487516,2946682,6186997,0,0,0,0,0,0,0,0,0,0,0,0,6908576
185.045546609091,0,0,0,0,0,0,0,0,,None,185.044998029181,0,1,8109794,10701440,6915067,0,0,0,0,9501381,10078069,16892178,6135537,0,3095585,2415065,5250382,7220902
185.060816666667,0,0,0,0,0,0,0,0,,None,185.060268086757,0,0,0,0,0,0,5804770,2780970,4679159,0,0,0,0,0,0,0,0,0
185.0819325,0,0,0,0,0,0,0,0,,None,185.081383920091,0,0,3466478,12874380,3433990,0,0,0,0,3482321,4358017,6231327,4530942,0,0,0,0,12243634
185.11831625,0,0,0,0,0,0,0,0,,None,185.117767670091,0,0,2645754,7184025,3395602,0,0,0,0,10459869,5302157,8586540,5113610,0,0,0,0,6414014
185.154704,0,0,0,0,0,0,0,0,,None,185.154155420091,0,0,7913222,5848741,8338461,0,0,0,0,3055337,0,0,2500118,0,0,0,0,0
186.04558,0,0,0,0,0,0,0,0,,None,186.045031420091,0,0,0,2583251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186.05338,8,10,5,0,0,0,0,0,CHO,Lignin,186.052831420091,-0.0429372157722375,1,0,0,0,0,0,0,0,0,2748606,5157497,2561347,0,0,0,0,0
