m/z	I	S/N	Res.	I %	
153.01934	2349519	12.6	847909	0.7	
155.03499	2517333	13.6	779816	0.8	
159.02989	4245291	24.3	780063	1.3	
161.04555	19262722	117.3	779242	6.1	
165.01934	2755071	15.0	793087	0.9	
165.04046	4408066	25.2	819369	1.4	
167.03499	5816877	33.8	785257	1.8	
169.01425	26497394	160.4	750289	8.4	
169.01451	2696561	14.5	1641278	0.9	
169.05064	3136376	17.2	790165	1.0	
171.02989	2469591	13.1	697757	0.8	
171.13906	4606699	26.2	769430	1.5	
173.04555	3274328	18.0	746097	1.0	
175.02481	2841323	15.3	742611	0.9	
177.01933	3314074	18.2	769840	1.1	
177.04046	11837342	70.2	735658	3.8	
177.05571	2377122	12.5	867150	0.8	
178.04828	3207809	17.5	712313	1.0	
179.03498	5743974	32.9	708123	1.8	
179.05524	4706667	26.6	804453	1.5	
179.05582	4106603	23.0	1722232	1.3	
179.05611	62191980	375.9	700069	19.7	
179.05641	4641131	26.2	841645	1.5	
180.05947	4003417	22.3	715270	1.3	
181.01425	2971713	16.0	707682	0.9	
181.05063	9807690	57.4	710739	3.1	
183.02990	3650876	20.1	741095	1.2	
183.06630	2425669	12.7	682229	0.8	
185.04554	5250382	29.7	681419	1.7	
187.06118	2601333	13.7	765919	0.8	
189.04046	2869671	15.3	696852	0.9	
191.03498	6398449	36.4	644882	2.0	
191.05511	3342839	18.1	735701	1.1	
191.05578	3649015	19.9	1504944	1.2	
191.05611	53175800	316.8	653878	16.9	
191.05645	4242935	23.5	1091748	1.3	
192.05945	4130085	22.8	683798	1.3	
193.01424	4806729	26.8	667280	1.5	
193.03537	6911056	39.5	678240	2.2	
193.05062	10057812	58.3	660577	3.2	
195.02990	6287040	35.6	674484	2.0	
195.05102	15721158	91.9	645032	5.0	
195.06628	5651147	31.8	656448	1.8	
197.04555	21974344	129.3	641525	7.0	
198.04890	2987153	15.9	689388	0.9	
199.06121	5617634	31.5	694300	1.8	
199.17034	3378695	18.1	610820	1.1	
201.04046	5584512	31.3	647501	1.8	
203.03498	2875699	15.1	685142	0.9	
203.05611	5860666	32.8	633455	1.9	
205.03537	10924023	62.8	619739	3.5	
205.05064	5525500	30.8	633736	1.8	
207.02989	5592775	31.1	650832	1.8	
207.05102	10691278	61.2	599838	3.4	
207.06628	10635988	60.8	623636	3.4	
209.04554	12848556	73.9	600754	4.1	
209.06668	7348660	41.4	614152	2.3	
211.02481	8624273	48.7	601329	2.7	
211.06120	11372702	64.9	585351	3.6	
213.04046	6564751	36.6	596241	2.1	
213.07684	3898269	20.9	590475	1.2	
215.03280	3715216	19.8	620241	1.2	
215.05611	12207769	69.5	594939	3.9	
217.05063	3474342	18.4	580108	1.1	
217.07176	3427246	18.1	597506	1.1	
219.02989	4384950	23.7	620810	1.4	
219.05103	13591742	77.6	579068	4.3	
219.06629	5075141	27.7	606759	1.6	
221.00916	4125647	22.1	600604	1.3	
221.04554	10899422	61.6	581960	3.5	
221.06668	22749158	130.6	557960	7.2	
221.08193	3084781	16.0	628929	1.0	
222.05336	2720117	13.9	572948	0.9	
223.02483	4810496	26.1	630841	1.5	
223.06120	13941519	79.3	571428	4.4	
225.04047	11914808	67.1	560874	3.8	
225.06161	3580481	18.8	596202	1.1	
225.07685	9702983	54.3	542650	3.1	
227.05611	12360056	69.7	559681	3.9	
229.07175	8588478	47.6	572142	2.7	
231.02993	3043314	15.6	458128	1.0	
231.05102	5272571	28.5	586842	1.7	
231.06627	3008513	15.4	568579	1.0	
233.04554	8317763	46.0	572799	2.6	
233.06668	11825996	66.3	537630	3.8	
233.08191	3219794	16.6	493937	1.0	
234.05335	2401517	11.8	642211	0.8	
235.02481	7988873	43.9	533978	2.5	
235.04591	2751121	13.8	621046	0.9	
235.06119	9332376	51.6	535367	3.0	
235.08231	3881121	20.3	497396	1.2	
236.06904	2408516	11.8	562630	0.8	
237.04046	7369185	40.3	563954	2.3	
237.06158	26950122	152.8	523029	8.5	
237.07684	7426545	40.7	526780	2.4	
238.06495	2605973	13.0	538590	0.8	
239.01974	7007533	38.3	512168	2.2	
239.05611	15240508	85.6	520069	4.8	
239.07723	6803781	37.1	511945	2.2	
239.09251	3009868	15.3	543178	1.0	
240.05945	2398953	11.7	543315	0.8	
240.06388	2548459	12.6	526168	0.8	
241.03538	11001994	60.9	547454	3.5	
241.07176	16224410	90.7	517530	5.1	
242.07953	2458185	12.1	526754	0.8	
243.05101	6986729	37.9	531251	2.2	
243.08742	4901881	26.0	509979	1.6	
245.04555	4423487	23.3	514955	1.4	
245.06667	12834632	71.3	504462	4.1	
245.08190	2389839	11.7	581158	0.8	
246.98842	2824319	14.1	488142	0.9	
247.02480	10662543	58.6	508200	3.4	
247.06119	8450718	46.0	511786	2.7	
247.08233	7955112	43.2	512415	2.5	
249.04045	11202029	61.7	492870	3.6	
249.06159	21356022	119.4	494718	6.8	
249.07684	9154045	50.0	514351	2.9	
250.04828	3024796	15.2	585205	1.0	
251.05610	20398410	113.9	489250	6.5	
251.07546	3026258	15.2	634151	1.0	
251.07723	43868500	247.3	488542	13.9	
251.09250	4321626	22.4	543844	1.4	
252.05948	2566902	12.5	548398	0.8	
252.06392	3896056	20.0	548239	1.2	
252.08058	4969215	26.1	511769	1.6	
253.03538	4828309	25.3	520198	1.5	
253.07175	16344229	90.4	490229	5.2	
255.05102	9009133	48.9	485860	2.9	
255.07218	6660086	35.6	484686	2.1	
255.08741	6957052	37.3	486635	2.2	
257.04553	3436856	17.4	441206	1.1	
257.06667	15035201	82.9	484166	4.8	
259.02483	2363512	11.3	510073	0.7	
259.06119	7427719	39.7	485661	2.4	
259.08233	10696336	58.1	475643	3.4	
261.00407	13357491	73.0	475068	4.2	
261.04045	5647810	29.7	507727	1.8	
261.06158	5090763	26.6	490669	1.6	
261.07684	6871505	36.6	498311	2.2	
262.04823	2411877	11.5	487555	0.8	
263.01972	3713271	18.8	499415	1.2	
263.05611	13026566	71.2	480598	4.1	
263.07723	17368336	95.5	470631	5.5	
263.09251	5091606	26.6	512228	1.6	
265.03536	9199669	49.3	471118	2.9	
265.07175	13666372	74.3	472833	4.3	
265.09289	3626061	18.2	508313	1.1	
266.07956	2472928	11.8	471643	0.8	
267.05102	13867883	75.4	477850	4.4	
267.07215	39058292	216.0	462161	12.4	
267.08741	9016186	48.3	477757	2.9	
268.05437	2583810	12.4	512750	0.8	
268.05884	3145988	15.6	500315	1.0	
268.07547	3208458	15.9	537733	1.0	
269.03026	2654859	12.8	504204	0.8	
269.06667	24030874	132.1	453901	7.6	
269.08781	13188770	71.6	465422	4.2	
269.10306	3132072	15.5	521131	1.0	
270.07006	3802156	19.2	501173	1.2	
270.07447	4642862	23.9	459330	1.5	
271.04594	24281520	132.6	461745	7.7	
271.06121	4378039	22.3	445442	1.4	
271.08233	13881791	75.0	457881	4.4	
271.09763	2442181	11.5	466563	0.8	
272.04930	3230526	15.9	481168	1.0	
272.06906	2421574	11.4	458541	0.8	
272.08568	2615117	12.5	480907	0.8	
273.04044	4716741	24.1	487735	1.5	
273.06158	7316685	38.6	458133	2.3	
273.07686	6823123	35.8	460692	2.2	
273.09796	3522779	17.5	488613	1.1	
275.01973	3545032	17.6	479290	1.1	
275.05610	9168854	48.8	451594	2.9	
275.07724	11288542	60.6	439773	3.6	
275.09253	4827108	24.8	469526	1.5	
277.03538	6935247	36.4	438573	2.2	
277.07175	13626077	73.5	443926	4.3	
277.09288	10169061	54.4	441540	3.2	
277.10807	2513131	11.9	477961	0.8	
278.07962	3088476	15.1	495252	1.0	
279.05103	9639370	51.1	443854	3.1	
279.07216	7171538	37.5	449881	2.3	
279.08741	11042264	58.8	468788	3.5	
280.05893	2439491	11.4	528353	0.8	
281.06667	15806648	85.0	437064	5.0	
281.08780	43561152	237.9	434357	13.8	
281.10308	5449926	28.0	445577	1.7	
282.07454	2516523	11.8	532587	0.8	
282.09114	5359153	27.5	415119	1.7	
283.04595	7281549	38.1	440184	2.3	
283.06119	3250066	15.9	447560	1.0	
283.08231	15299482	82.2	433227	4.9	
284.08575	2373892	11.1	450829	0.8	
284.09023	2588933	12.2	434560	0.8	
285.04045	3372633	16.6	491159	1.1	
285.06157	11880032	63.4	450529	3.8	
285.07685	4854374	24.7	464312	1.5	
