m/z	I	S/N	Res.	I %	
143.10776	30727686	158.2	875951	2.1	
144.11112	5050901	24.3	891552	0.3	
149.04555	4939946	23.8	886861	0.3	
151.04007	9945870	49.8	846254	0.7	
152.01152	3049289	13.9	906753	0.2	
153.01934	6546828	32.1	864984	0.4	
153.05572	5009807	24.1	856826	0.3	
155.03498	2395944	10.5	988063	0.2	
157.05064	4678881	22.4	877223	0.3	
157.08703	3053541	13.9	886064	0.2	
157.12258	6124776	29.9	878806	0.4	
157.12341	70858984	367.3	794485	4.9	
158.12676	7844177	38.9	809107	0.5	
159.02990	4432822	21.1	800460	0.3	
159.06629	2828474	12.7	810709	0.2	
161.04531	2685615	12.0	1927325	0.2	
161.04555	31824558	163.8	787786	2.2	
162.03224	4007989	18.8	767020	0.3	
163.04007	4303303	20.4	842641	0.3	
163.06120	3002571	13.6	905975	0.2	
165.01933	5263104	25.3	802725	0.4	
165.04046	4571395	21.7	718341	0.3	
165.05572	8765701	43.4	780310	0.6	
166.02716	7450027	36.6	772471	0.5	
167.03499	16506463	83.3	759640	1.1	
169.01425	32657368	166.3	752134	2.2	
169.05063	4637663	21.9	804957	0.3	
169.08702	2663399	11.7	751039	0.2	
169.12339	3679726	17.0	841037	0.3	
171.02990	2637944	11.6	775259	0.2	
171.06626	3686016	17.0	726329	0.3	
171.10266	8026504	39.4	765008	0.6	
171.13709	13685135	68.5	653199	0.9	
171.13806	93020560	477.2	787068	6.4	
171.13905	1455153536	7494.4	727959	100.0	
172.14140	9390699	46.3	829970	0.6	
172.14241	148546160	761.0	725876	10.2	
172.14532	3326572	15.1	719047	0.2	
172.95792	2962724	13.2	790557	0.2	
173.04554	5679928	27.2	749614	0.4	
173.08191	3765056	17.4	781270	0.3	
173.11832	4580681	21.5	771683	0.3	
173.14330	6557518	31.7	765498	0.5	
173.14576	8544079	41.9	722398	0.6	
175.02480	2744077	12.1	759938	0.2	
175.06121	4131606	19.2	748471	0.3	
175.09758	2536991	11.0	785692	0.2	
176.01151	3451905	15.7	824911	0.2	
177.01933	13283074	66.0	697442	0.9	
177.04046	17053448	85.3	711085	1.2	
177.05571	13371148	66.5	719660	0.9	
177.09210	2517013	10.9	711418	0.2	
178.05905	2432019	10.4	860847	0.2	
178.99859	7429392	35.9	730283	0.5	
179.03498	13234458	65.6	703692	0.9	
179.05503	6382880	30.6	784219	0.4	
179.05611	106866976	543.5	694836	7.3	
180.05946	6052405	28.9	739099	0.4	
181.01424	7197508	34.6	707751	0.5	
181.05063	36166476	182.0	692222	2.5	
181.07177	2985300	13.2	793154	0.2	
182.02203	2914151	12.9	678011	0.2	
182.05399	4000881	18.4	664047	0.3	
183.02990	8109458	39.3	680250	0.6	
183.06628	4850077	22.7	703770	0.3	
185.02777	6186997	29.4	689752	0.4	
185.04555	6915067	33.1	706013	0.5	
185.08193	3433990	15.4	749190	0.2	
185.11831	3395602	15.2	757155	0.2	
185.15471	8338461	40.3	707718	0.6	
187.04194	3283063	14.7	696027	0.2	
187.06120	5269117	24.7	656197	0.4	
187.09758	7755401	37.3	689755	0.5	
187.13396	2891413	12.7	696681	0.2	
189.04047	3303180	14.7	726873	0.2	
189.05572	3052817	13.5	767980	0.2	
189.05760	2612242	11.2	640267	0.2	
189.07684	6292760	29.8	688179	0.4	
191.03498	13885367	67.9	663189	1.0	
191.05485	4775870	22.1	800036	0.3	
191.05611	87095232	436.5	657833	6.0	
191.07138	4787140	22.1	674034	0.3	
192.04281	3330329	14.8	734803	0.2	
192.05947	6851871	32.5	678871	0.5	
193.01425	4034163	18.3	719747	0.3	
