m/z	I	S/N	Res.	I %	
149.99562	2628459	11.7	848149	1.2	
150.49954	13339782	67.3	865114	6.0	
150.50036	6072455	29.6	900465	2.7	
167.03498	2507112	10.9	564533	1.1	
169.01425	7982072	38.9	629512	3.6	
170.55453	2896199	12.9	908181	1.3	
172.54904	2479125	10.7	785087	1.1	
175.04013	4236676	19.6	582911	1.9	
176.10635	6682781	32.0	759965	3.0	
177.01939	2890389	12.7	692729	1.3	
177.05569	3647647	16.6	520478	1.6	
179.03502	4182480	19.2	463990	1.9	
181.05068	6951464	33.2	564568	3.1	
185.06085	2780970	12.0	605729	1.3	
187.04011	3703243	16.7	435015	1.7	
187.07640	2611928	11.2	594503	1.2	
188.04788	2631212	11.2	471504	1.2	
189.01932	2538375	10.8	608712	1.1	
189.05568	5437332	25.3	443106	2.5	
190.02714	2661237	11.4	477837	1.2	
191.03500	5755753	26.8	485090	2.6	
191.07132	4408183	20.0	485241	2.0	
193.01424	3160151	13.8	550560	1.4	
193.05058	5906533	27.5	506941	2.7	
194.05840	2850284	12.3	732676	1.3	
195.02984	2886762	12.4	615313	1.3	
195.04512	2587376	10.9	466045	1.2	
195.05094	2729075	11.6	496013	1.2	
195.06625	6273913	29.2	539201	2.8	
197.04545	7478422	35.2	455148	3.4	
197.06074	3422108	15.0	390533	1.5	
199.03999	5006800	22.8	484051	2.3	
199.07637	2828255	12.0	448116	1.3	
201.05562	6946600	32.4	500589	3.1	
203.03489	7083653	32.9	486299	3.2	
203.07130	5655189	25.9	581313	2.6	
204.04277	2442307	10.1	644861	1.1	
205.01422	3019254	12.9	584882	1.4	
205.05056	6530567	30.2	432543	2.9	
205.08690	3086871	13.2	535825	1.4	
207.02981	4246923	18.9	571695	1.9	
207.06623	6889372	31.8	433089	3.1	
209.04545	4628275	20.7	489154	2.1	
209.06076	4247354	18.9	434870	1.9	
209.08183	3064644	13.1	564767	1.4	
211.02475	3878619	17.0	513725	1.8	
211.04000	4567266	20.3	559369	2.1	
211.06118	2957804	12.5	413680	1.3	
211.07640	4340980	19.2	454865	2.0	
212.04776	2706629	11.2	402917	1.2	
213.01927	2678427	11.1	633891	1.2	
213.05564	7514285	34.7	450098	3.4	
213.09203	2816959	11.8	493502	1.3	
214.06356	2531480	10.4	571173	1.1	
215.03490	5998710	27.1	512711	2.7	
215.07130	6946952	31.7	430255	3.1	
216.04272	3054697	12.9	445443	1.4	
217.05056	8432736	39.0	433738	3.8	
217.08692	3727474	16.1	455577	1.7	
219.02985	4288583	18.8	464092	1.9	
219.04504	2708558	11.2	589181	1.2	
219.06621	7777369	35.8	421234	3.5	
219.10257	2447979	9.9	450295	1.1	
221.04545	5640781	25.3	419173	2.5	
221.06074	3670613	15.8	436668	1.7	
221.06669	3554392	15.2	479098	1.6	
221.08184	5109856	22.7	440000	2.3	
223.02477	2987085	12.5	571526	1.3	
223.04002	3628117	15.5	514748	1.6	
223.06116	5666912	25.4	437141	2.6	
223.07639	4096616	17.8	451793	1.8	
224.04792	3270244	13.7	452431	1.5	
225.05565	9099381	41.7	418993	4.1	
225.07681	7396480	33.5	429227	3.3	
225.09207	3261576	13.7	427107	1.5	
