m/z	I	S/N	Res.	I %	
149.02442	2611446	11.6	925664	1.3	
151.04007	10769506	54.1	830077	5.5	
153.01933	7200488	35.5	870392	3.7	
153.05572	4508395	21.5	796147	2.3	
155.03499	4077198	19.3	805463	2.1	
157.05063	3472980	16.1	861876	1.8	
157.12341	3746652	17.5	851650	1.9	
159.02989	4346679	20.6	846001	2.2	
161.04554	14869569	75.5	792654	7.6	
162.03224	3661009	17.0	853378	1.9	
162.05337	5588180	27.0	772806	2.9	
163.04006	5932397	28.8	799642	3.0	
163.06119	6465904	31.6	804806	3.3	
164.04788	3616274	16.7	836848	1.8	
165.01933	5392058	25.9	735770	2.8	
165.05571	7630528	37.5	752416	3.9	
166.02715	5794161	28.0	790702	3.0	
167.03498	11243568	56.1	760893	5.7	
167.07137	3410488	15.6	765653	1.7	
168.04280	7540985	37.0	750051	3.9	
169.01424	5593539	26.8	679410	2.9	
169.05063	5600203	26.9	730835	2.9	
169.08703	3334098	15.2	733423	1.7	
169.12341	4228570	19.8	796306	2.2	
171.02992	2526335	11.0	739350	1.3	
171.06628	3496327	16.0	814257	1.8	
171.13825	9045911	44.6	792013	4.6	
171.13905	126705560	650.8	729924	64.7	
172.14241	14194818	70.9	747669	7.3	
173.04556	4192092	19.6	750768	2.1	
173.08193	4159333	19.4	800458	2.1	
175.04005	3695955	17.0	765904	1.9	
176.01149	3731028	17.1	789894	1.9	
176.10639	9663597	47.5	721919	4.9	
177.01933	5205350	24.7	741193	2.7	
177.04047	3199852	14.4	771155	1.6	
177.05483	2440560	10.5	678250	1.2	
177.05572	29697392	150.1	716939	15.2	
177.07685	3194742	14.4	804414	1.6	
178.02718	3767423	17.3	746839	1.9	
178.04829	4201606	19.5	749885	2.1	
178.05908	3285128	14.8	714406	1.7	
178.06355	2599562	11.3	771410	1.3	
179.03498	18067360	90.3	694935	9.2	
179.05611	14972838	74.5	709823	7.6	
179.07137	7743403	37.6	688308	4.0	
180.04280	5716169	27.2	733585	2.9	
181.05063	36850168	185.5	693774	18.8	
181.08702	3476995	15.7	775657	1.8	
182.02208	2999332	13.3	706917	1.5	
182.05397	3325230	14.9	705778	1.7	
182.05847	3857711	17.7	752246	2.0	
183.02991	7198818	34.7	703407	3.7	
183.06628	6262893	29.9	702181	3.2	
184.03772	2948006	13.0	824106	1.5	
185.04555	6135537	29.1	716554	3.1	
185.08194	4530942	21.0	666733	2.3	
185.11831	5113610	24.0	678273	2.6	
185.15471	2500118	10.7	764279	1.3	
186.05339	2561347	11.0	710980	1.3	
187.06120	4779420	22.3	706900	2.4	
187.09758	5906857	28.0	687731	3.0	
187.13397	13398453	66.0	682960	6.8	
189.05572	5205081	24.3	725426	2.7	
189.12847	2750067	11.9	720901	1.4	
190.02716	2833335	12.3	725959	1.4	
190.06355	2429124	10.3	745628	1.2	
191.03499	24389416	120.9	651107	12.5	
191.05612	3015472	13.2	660042	1.5	
191.07138	8731446	42.0	692113	4.5	
192.03835	2888350	12.6	660294	1.5	
192.04281	9052320	43.6	671005	4.6	
193.01426	3613712	16.2	669059	1.8	
193.04963	2903069	12.6	721793	1.5	
193.05063	37374492	186.2	652671	19.1	
193.05098	3179038	14.0	1129993	1.6	
193.08700	3802155	17.2	641604	1.9	
194.05397	4463519	20.5	668741	2.3	
194.05846	11336608	55.1	668681	5.8	
195.02990	8415515	40.3	649606	4.3	
195.06592	2399529	10.1	1587896	1.2	
195.06628	32263466	159.9	636754	16.5	
196.03772	8806057	42.2	657130	4.5	
196.06964	3414710	15.2	676579	1.7	
196.07412	2887351	12.5	733037	1.5	
197.04555	23187516	114.4	639870	11.8	
