m/z	I	S/N	Res.	I %	
113.02441	2801475	12.6	1093201	1.6	
125.02441	2424792	10.6	997569	1.3	
149.02442	2551861	11.3	1017331	1.4	
149.06081	2551479	11.3	767617	1.4	
151.04007	10408350	52.3	845192	5.8	
153.01933	7700001	38.2	799895	4.3	
153.05572	4997668	24.1	898959	2.8	
154.02717	2807406	12.6	841895	1.6	
155.03498	6008514	29.3	811817	3.3	
157.05063	5212034	25.2	789754	2.9	
157.12340	3893898	18.3	815365	2.2	
159.02990	8155231	40.5	808872	4.5	
159.06628	2874467	13.0	778069	1.6	
160.03772	3431900	15.9	779534	1.9	
161.02443	2970462	13.5	771433	1.6	
161.04555	21127522	108.1	793880	11.7	
162.03224	5546989	26.8	793824	3.1	
162.05337	11065840	55.5	785388	6.1	
163.04007	8474244	42.0	759962	4.7	
163.06120	7796360	38.5	823582	4.3	
164.04790	3715365	17.3	815596	2.1	
165.01933	5962184	28.9	834650	3.3	
165.05572	9715662	48.4	791514	5.4	
166.02717	5343866	25.7	809034	3.0	
167.03498	13162804	66.0	770865	7.3	
167.07137	4590907	21.7	759886	2.5	
168.04282	6118392	29.6	801062	3.4	
169.01426	6328508	30.6	743679	3.5	
169.05064	9071299	44.7	772863	5.0	
169.08701	2566859	11.2	848414	1.4	
169.12339	4073170	19.0	771077	2.3	
170.05845	2731927	12.1	884675	1.5	
171.02991	4142187	19.4	781767	2.3	
171.06628	3568243	16.4	788211	2.0	
171.10266	2437755	10.6	819288	1.4	
171.13825	3189379	14.4	914256	1.8	
171.13905	45289604	231.3	729946	25.1	
171.13932	3610755	16.6	1604742	2.0	
172.14240	5587815	26.7	747747	3.1	
173.04554	5625915	26.9	714457	3.1	
173.08195	3618884	16.6	747958	2.0	
174.03225	2467882	10.7	866132	1.4	
175.04007	4330533	20.2	737388	2.4	
175.06121	2960427	13.2	644907	1.6	
176.01154	3024927	13.5	731772	1.7	
176.10639	4751160	22.3	752151	2.6	
177.01933	5080618	24.0	768050	2.8	
177.04047	8155695	39.8	742120	4.5	
177.05484	2568243	11.2	776610	1.4	
177.05572	31127092	157.4	712784	17.3	
177.07684	3244089	14.6	741107	1.8	
178.02716	2914363	12.9	726525	1.6	
178.04830	7489345	36.2	738570	4.2	
178.05908	3909444	18.0	786843	2.2	
178.06354	3035461	13.5	761507	1.7	
179.03498	17770580	88.7	707979	9.9	
179.05523	2866266	12.6	785607	1.6	
179.05611	27560026	138.7	697367	15.3	
179.07137	9440351	46.2	710847	5.2	
180.04280	6875509	33.1	716172	3.8	
181.01424	2599570	11.2	766553	1.4	
181.04972	2613917	11.3	778426	1.5	
181.05033	2638493	11.4	1154420	1.5	
181.05063	35650204	179.3	700725	19.8	
181.05093	3548829	16.1	1394614	2.0	
181.08702	3241128	14.5	693818	1.8	
182.02206	2517441	10.8	705708	1.4	
182.05398	3563978	16.2	710114	2.0	
182.05846	2435020	10.4	848183	1.4	
183.02990	8695030	42.2	704759	4.8	
183.06628	9143553	44.5	690367	5.1	
183.10267	2939148	13.0	755691	1.6	
184.03772	4421170	20.4	707597	2.5	
185.04555	10078069	49.1	681157	5.6	
185.08192	4358017	20.1	715685	2.4	
185.11833	5302157	24.9	703138	2.9	
186.05337	2748606	12.0	775938	1.5	
187.04005	3614215	16.3	671350	2.0	
187.06120	6650382	31.7	684686	3.7	
187.09759	6138395	29.1	678248	3.4	
187.13397	16642599	82.4	683391	9.2	
188.04788	2764125	12.0	747466	1.5	
189.04046	2910900	12.7	767043	1.6	
189.05573	6217914	29.4	711257	3.5	
190.02717	3983887	18.1	673815	2.2	
190.06355	2645532	11.4	714428	1.5	
191.03499	25085816	124.2	661848	13.9	
191.05612	5309312	24.7	698522	2.9	
191.07137	14782341	72.4	675018	8.2	
192.03835	3126500	13.8	683921	1.7	
192.04281	8949990	43.1	698805	5.0	
192.07922	2509555	10.7	591858	1.4	
193.01425	4055117	18.4	671453	2.3	
193.05029	3838554	17.3	1411165	2.1	
193.05064	39311964	195.8	654034	21.8	
193.08701	4447848	20.4	649689	2.5	
194.05400	3898322	17.6	768868	2.2	
194.05846	11424724	55.5	668265	6.3	
195.02990	10476869	50.5	653941	5.8	
195.06628	33115476	164.0	645321	18.4	
195.10266	3401569	15.1	690857	1.9	
196.03772	10014410	48.2	643190	5.6	
196.06963	2638551	11.3	734805	1.5	
197.04555	26525780	131.0	641686	14.7	
197.08193	7423075	35.2	649428	4.1	
197.11834	2480241	10.5	650248	1.4	
198.04892	3052514	13.3	717972	1.7	
198.05339	3996644	18.1	674574	2.2	
199.02481	2500458	10.5	706792	1.4	
199.06120	12968824	62.8	648686	7.2	
199.09758	3673479	16.4	660168	2.0	
199.17036	55518116	275.1	628851	30.8	
199.17073	4553637	20.8	1269283	2.5	
200.06903	2865426	12.3	647538	1.6	
