m/z	I	S/N	Res.	I %	
147.02991	3059009	13.9	899288	0.8	
147.04515	2956354	13.4	972524	0.8	
149.00916	7292566	36.0	891531	1.9	
149.02441	6656663	32.6	857530	1.7	
149.06080	3362713	15.5	920329	0.9	
150.03224	3688653	17.2	870073	1.0	
151.04007	21529866	110.0	832100	5.6	
151.07646	2630924	11.7	881248	0.7	
153.01933	19373462	98.8	830660	5.0	
153.05572	8393625	41.7	811344	2.2	
154.02717	4277482	20.3	819576	1.1	
155.03498	9151045	45.6	809396	2.4	
156.04279	3867305	18.1	810281	1.0	
157.01425	4476690	21.3	834549	1.2	
157.05063	9962262	49.8	821906	2.6	
157.12341	5714206	27.7	832103	1.5	
159.02990	24127492	123.4	788584	6.3	
159.03013	2548741	11.3	1415483	0.7	
159.06630	2909961	13.1	746512	0.8	
159.10266	2393870	10.5	847223	0.6	
160.03773	5632140	27.3	780055	1.5	
161.02441	5444378	26.3	788959	1.4	
161.04530	3314973	15.2	2183828	0.9	
161.04555	38992156	200.7	780120	10.1	
162.03224	10026420	50.0	808246	2.6	
162.04892	2992823	13.5	793063	0.8	
162.05337	15890871	80.3	776873	4.1	
163.04007	21197400	107.8	767121	5.5	
163.06119	37128796	190.4	762018	9.6	
164.01150	4430080	20.9	810227	1.2	
164.04789	10778374	53.7	756367	2.8	
165.01933	8206263	40.4	797197	2.1	
165.05572	17101758	86.3	760729	4.4	
165.09210	2555845	11.2	850913	0.7	
166.02716	17380472	87.8	756010	4.5	
166.99859	3925307	18.2	773049	1.0	
167.03420	2873154	12.8	944355	0.7	
167.03498	31092034	158.0	752998	8.1	
167.07136	6711626	32.6	830122	1.7	
168.00642	17167886	86.4	763775	4.5	
168.03834	3411733	15.6	778538	0.9	
168.04281	17962518	90.5	753478	4.7	
169.01345	3505899	16.0	819939	0.9	
169.01425	28430058	143.8	739672	7.4	
169.05063	11337459	56.2	743670	2.9	
169.08701	3708667	17.0	798573	1.0	
169.12341	5005571	23.7	836657	1.3	
170.01759	2512335	10.9	761711	0.7	
170.05847	3354073	15.2	783144	0.9	
171.02990	7574719	36.9	745352	2.0	
171.06628	6075080	29.2	757111	1.6	
171.13823	8607961	42.2	846935	2.2	
171.13878	7901401	38.5	1555374	2.1	
171.13905	100344024	512.5	732504	26.1	
172.14241	10756560	53.0	734310	2.8	
173.00916	5594285	26.6	758822	1.5	
173.04556	10529462	51.8	743574	2.7	
173.08192	4649663	21.8	757591	1.2	
174.03225	4239289	19.7	766607	1.1	
175.02480	8481990	41.2	747455	2.2	
175.04007	9870538	48.3	750091	2.6	
175.07645	2452180	10.5	719902	0.6	
176.01150	11666905	57.4	744167	3.0	
176.03264	3239903	14.5	774265	0.8	
176.04789	3738083	17.1	787129	1.0	
176.10636	2423540	10.4	739877	0.6	
177.01933	17620730	87.7	701731	4.6	
177.03960	4538112	21.1	842893	1.2	
177.04046	54200064	273.8	704551	14.1	
177.04074	4919040	23.1	1296121	1.3	
177.05483	7064325	34.0	783828	1.8	
177.05572	84018952	425.6	701980	21.8	
177.05600	7235333	34.8	970134	1.9	
177.07685	9937675	48.6	746275	2.6	
178.02716	7996452	38.6	690289	2.1	
178.04383	3851304	17.6	690148	1.0	
178.04829	23664682	118.0	710000	6.1	
178.05907	9766957	47.5	725979	2.5	
178.06354	6411310	30.5	732127	1.7	
178.99860	5083466	23.8	621208	1.3	
179.03408	3161429	14.1	906909	0.8	
179.03498	42522964	213.6	702293	11.0	
179.05521	8243547	39.8	811503	2.1	
179.05611	100952408	509.7	693693	26.2	
179.05640	8722779	42.2	941735	2.3	
179.07137	14455136	71.3	697814	3.8	
180.03834	4589197	21.3	679568	1.2	
180.04281	12378766	60.8	710874	3.2	
180.05947	6917780	33.1	702502	1.8	
181.01425	8771523	42.3	729820	2.3	
181.04971	9937871	48.2	769085	2.6	
181.05063	115895248	583.1	690679	30.1	
181.07175	8931286	43.1	671427	2.3	
181.08702	6949851	33.1	733952	1.8	
182.02208	8393996	40.4	732979	2.2	
182.04588	3047700	13.4	683909	0.8	
182.05398	10683670	52.0	699999	2.8	
182.05846	5619480	26.4	682119	1.5	
183.02990	20172380	99.9	700799	5.2	
183.06628	14261864	70.0	702635	3.7	
183.10268	3630709	16.4	736140	0.9	
184.03772	8346548	40.0	700859	2.2	
185.00917	2962182	12.9	765727	0.8	
185.04554	16892178	83.0	687713	4.4	
185.08194	6231327	29.4	693185	1.6	
185.11831	8586540	41.2	681623	2.2	
186.05338	5157497	24.0	667723	1.3	
187.02481	3068376	13.5	774552	0.8	
187.04007	4879326	22.6	732891	1.3	
187.06120	12219366	59.5	679926	3.2	
187.09757	7514099	35.8	700447	2.0	
187.13397	28398592	140.8	663839	7.4	
188.04790	5412690	25.1	673204	1.4	
188.13732	3685235	16.5	766355	1.0	
189.01933	4320959	19.7	696527	1.1	
189.04046	10497735	50.6	698368	2.7	
189.05573	9842381	47.3	657526	2.6	
189.07684	5142229	23.8	706108	1.3	
189.12848	4118760	18.7	658009	1.1	
190.02716	6277185	29.5	640099	1.6	
190.06355	5311567	24.6	700251	1.4	
191.01973	18227650	88.9	660759	4.7	
191.03394	4090312	18.4	751389	1.1	
191.03465	3676616	16.4	1608363	1.0	
191.03498	55753160	275.8	650590	14.5	
191.05611	12657105	61.1	653643	3.3	
191.07032	2946518	12.7	850649	0.8	
191.07137	37841368	186.6	654455	9.8	
192.00644	3908936	17.5	657490	1.0	
192.03833	5388117	24.9	667771	1.4	
192.04281	19217238	93.8	664808	5.0	
192.07471	4991332	22.9	651171	1.3	
192.07920	4602726	21.0	691236	1.2	
193.01425	10613981	50.9	667317	2.8	
193.03537	18574566	90.6	641775	4.8	
193.04618	2565866	10.8	574861	0.7	
193.04957	8286444	39.3	707136	2.2	
193.05063	98041064	486.5	646450	25.5	
193.08702	5202171	24.0	673833	1.4	
194.02207	4334200	19.6	722034	1.1	
194.04590	2597506	11.0	716663	0.7	
194.05398	12310149	59.4	652666	3.2	
194.05810	2992775	13.0	1253876	0.8	
194.05845	33152648	163.2	638995	8.6	
194.99351	10407946	49.7	650415	2.7	
195.02990	21032986	102.4	640573	5.5	
195.05103	6772770	31.6	661221	1.8	
195.06180	4209191	18.9	677540	1.1	
195.06521	8970280	42.5	739774	2.3	
195.06628	109690920	542.0	635300	28.5	
195.13905	2774599	11.8	721363	0.7	
196.03324	3149247	13.7	633761	0.8	
196.03662	2590656	10.9	717835	0.7	
196.03736	2684352	11.4	1350374	0.7	
196.03772	31781312	155.7	637431	8.3	
196.05885	9392585	44.6	672885	2.4	
196.06152	2689739	11.4	626185	0.7	
196.06964	12186062	58.5	638139	3.2	
196.07412	4938192	22.5	667756	1.3	
197.00917	5893982	27.3	618892	1.5	
197.04106	3370348	14.8	637905	0.9	
197.04445	6222701	28.9	692880	1.6	
197.04555	75400048	372.0	631601	19.6	
197.08193	10261373	48.9	655319	2.7	
197.11831	5291917	24.3	660861	1.4	
197.15470	3256733	14.2	635033	0.8	
198.03225	3808024	16.9	664783	1.0	
198.04890	7207199	33.8	647300	1.9	
198.05336	6381857	29.7	649157	1.7	
198.07719	3064619	13.2	663531	0.8	
199.02482	5626570	25.8	651558	1.5	
199.06119	19437274	94.0	628681	5.0	
199.09760	4769514	21.6	675758	1.2	
199.13397	4010234	17.8	678700	1.0	
199.16923	7528201	35.2	675335	2.0	
199.17035	83412744	409.7	626089	21.7	
200.03262	2453896	10.2	628416	0.6	
200.04791	3225230	14.0	636806	0.8	
200.06903	3704984	16.3	691683	1.0	
200.17371	11552966	55.1	627602	3.0	
201.04046	11711051	55.8	626830	3.0	
201.05572	6489682	30.1	646000	1.7	
201.07685	5239388	23.9	682967	1.4	
201.11323	6532716	30.3	671056	1.7	
202.02717	3301899	14.3	698521	0.9	
202.04829	4181012	18.6	667354	1.1	
202.06353	3922971	17.3	613702	1.0	
203.03497	11560408	54.8	625113	3.0	
203.05611	11619810	55.1	615191	3.0	
203.07137	8120810	37.9	618507	2.1	
204.04281	10082220	47.6	631079	2.6	
204.06393	3600310	15.7	693726	0.9	
205.01425	9832819	46.3	620821	2.6	
205.03537	6576509	30.3	583751	1.7	
205.04942	2426244	10.0	527228	0.6	
205.05063	27001220	130.7	611317	7.0	
205.05246	2711685	11.4	533334	0.7	
205.08703	6882709	31.8	614510	1.8	
205.12341	3652518	16.0	691567	0.9	
206.02207	21746512	104.8	610304	5.6	
206.05402	3939167	17.3	601332	1.0	
206.05846	14732129	70.0	600663	3.8	
207.02542	2795824	11.7	646959	0.7	
207.02990	23340338	112.1	615325	6.1	
207.05103	8789308	41.0	605186	2.3	
207.06506	13739330	65.2	685470	3.6	
207.06628	172889408	842.8	597195	44.9	
207.08741	33334606	160.9	598815	8.7	
207.10266	4344149	19.3	661760	1.1	
207.13904	2708838	11.3	686258	0.7	
208.00133	3475206	15.0	649219	0.9	
208.03772	10729240	50.5	608628	2.8	
208.06152	2885924	12.1	594980	0.7	
208.06963	19564328	93.6	593103	5.1	
208.07412	15173418	72.2	617022	3.9	
208.09076	2650418	11.0	628024	0.7	
209.00917	7099633	32.7	660057	1.8	
209.04430	5979395	27.3	688735	1.6	
209.04555	70359296	341.8	595731	18.3	
209.04593	6258947	28.6	1052997	1.6	
209.08193	23275796	111.8	600906	6.0	
209.11831	4491559	20.0	598243	1.2	
210.04891	8772336	40.9	597467	2.3	
210.05337	13091570	62.0	596608	3.4	
210.07450	5412605	24.5	627622	1.4	
210.08524	2833666	11.9	637573	0.7	
211.02481	12610772	59.3	595819	3.3	
211.04005	4273372	18.8	659525	1.1	
211.05992	5292262	23.8	706254	1.4	
211.06078	5332198	24.0	1237183	1.4	
211.06119	67509480	326.1	589187	17.5	
211.09759	10732792	50.2	597467	2.8	
211.13399	5150987	23.1	638554	1.3	
212.03262	3793612	16.5	657432	1.0	
212.04791	4066004	17.8	589801	1.1	
212.05378	4251351	18.7	665855	1.1	
212.06455	7379676	33.9	604749	1.9	
212.06900	6667998	30.5	586267	1.7	
212.09285	2942186	12.3	589508	0.8	
213.04046	16666824	79.0	590194	4.3	
213.05571	3403472	14.6	626172	0.9	
213.07685	14301402	67.5	588305	3.7	
213.11322	3474669	14.9	622925	0.9	
213.14962	5001471	22.4	579548	1.3	
213.18601	7446802	34.2	581904	1.9	
214.02716	3440317	14.8	598786	0.9	
214.04827	5348040	24.0	592526	1.4	
214.06355	3410127	14.6	570178	0.9	
215.03278	2518719	10.2	576589	0.7	
215.03496	5174465	23.1	611063	1.3	
215.05611	23901388	113.6	585969	6.2	
215.07139	5656787	25.4	584956	1.5	
215.09250	4327646	19.0	599004	1.1	
215.12885	4892913	21.7	585309	1.3	
215.16528	3809540	16.5	636523	1.0	
216.04281	8480456	39.0	578209	2.2	
216.06395	7601875	34.8	600608	2.0	
216.07915	3171547	13.4	633116	0.8	
217.01426	3828416	16.6	608591	1.0	
217.03534	4445387	19.5	595136	1.2	
217.05063	14913747	70.1	592214	3.9	
217.07176	12689630	59.4	588491	3.3	
