m/z	I	S/N	Res.	I %	
100.33338	3285251	15.1	1086726	0.7	
137.00603	4311542	20.5	1011913	1.0	
142.50211	4074724	19.2	856175	0.9	
149.50995	2452523	10.8	874127	0.5	
149.99566	5323716	25.7	885164	1.2	
149.99649	2628291	11.7	1011873	0.6	
150.49958	29683166	152.6	839364	6.6	
150.50020	5610975	27.2	1044999	1.2	
150.50039	12522975	63.2	938174	2.8	
150.50126	3778783	17.7	948719	0.8	
151.00126	4194300	19.9	862117	0.9	
156.49960	4540334	21.7	831266	1.0	
157.00350	2797793	12.6	947097	0.6	
157.50740	3968534	18.7	931692	0.9	
163.50742	3261240	14.9	737252	0.7	
165.01927	2486197	10.9	568428	0.6	
165.53366	2527887	11.1	846526	0.6	
169.01427	10490159	51.9	538002	2.3	
173.53869	2444592	10.5	742327	0.5	
175.04006	2896552	12.8	556537	0.6	
176.10637	16346558	81.5	713094	3.6	
177.01939	4181171	19.4	542161	0.9	
177.05574	2784316	12.2	500552	0.6	
179.03506	4050917	18.6	460229	0.9	
181.05069	4692790	21.8	482498	1.0	
187.04013	3366336	15.0	544490	0.7	
189.01939	4250483	19.4	525962	0.9	
189.05579	3071360	13.5	627653	0.7	
190.02711	3917277	17.7	474785	0.9	
191.03506	5404237	25.1	401368	1.2	
193.01420	6782769	32.0	547464	1.5	
193.05062	4756799	21.9	534795	1.1	
194.99353	4670510	21.3	527479	1.0	
195.02985	3722812	16.6	557229	0.8	
195.04515	3457090	15.3	665539	0.8	
195.05101	3336516	14.7	496738	0.7	
195.06627	3833674	17.2	520330	0.9	
197.04550	8012126	38.0	521770	1.8	
199.04003	4537998	20.6	525596	1.0	
199.85103	2624864	11.1	406765	0.6	
201.01927	3919821	17.5	496070	0.9	
201.05566	4027868	18.0	558870	0.9	
202.02716	2664316	11.2	484324	0.6	
203.03492	7102256	33.2	524547	1.6	
203.07129	2617408	11.0	511824	0.6	
204.04277	3132138	13.5	617509	0.7	
205.01420	5833368	26.9	530193	1.3	
205.05057	6794920	31.6	542228	1.5	
207.02983	5486627	25.0	485002	1.2	
207.06619	5099060	23.1	446819	1.1	
209.00912	4938160	22.3	496634	1.1	
209.04548	3855297	17.0	591907	0.9	
209.06069	2559432	10.6	506096	0.6	
211.02478	3395935	14.7	426875	0.8	
211.04002	5528935	25.1	512009	1.2	
213.01932	3557270	15.5	411483	0.8	
213.05565	5102887	23.0	571821	1.1	
215.03493	6612711	30.3	397595	1.5	
215.07129	2964729	12.5	509805	0.7	
215.84592	4647028	20.7	527908	1.0	
216.00632	2755267	11.5	436131	0.6	
216.04271	3206869	13.7	543778	0.7	
217.01426	5686709	25.7	385096	1.3	
217.05057	5442759	24.6	419450	1.2	
219.02991	6156965	28.0	412164	1.4	
219.06623	3980983	17.4	389179	0.9	
221.00909	4950159	22.0	424469	1.1	
221.04549	4646050	20.6	464810	1.0	
221.06074	3421865	14.6	459818	0.8	
221.06657	2518188	10.2	493506	0.6	
221.08200	2556084	10.4	398070	0.6	
223.02477	3367065	14.4	380229	0.7	
223.04018	3219105	13.6	462539	0.7	
223.06114	3985580	17.4	390009	0.9	
224.04784	3698347	15.9	484514	0.8	
225.05560	6063288	27.3	399305	1.3	
225.07679	4244163	18.5	488423	0.9	
226.02708	3557556	15.2	441943	0.8	
226.06354	2471623	10.0	500984	0.6	
227.03492	8137927	37.3	393027	1.8	
227.07124	3648730	15.6	440908	0.8	
228.04276	3670748	15.7	416447	0.8	
229.01418	7907552	36.0	406807	1.8	
229.05054	8037619	36.6	419645	1.8	
230.02197	3657978	15.6	372684	0.8	
231.02987	8243991	37.6	367330	1.8	
231.06625	5374762	23.8	379249	1.2	
232.03775	3141941	13.1	408924	0.7	
233.00917	3681347	15.7	371354	0.8	
233.04551	7558487	34.3	400161	1.7	
233.06073	3216223	13.4	443575	0.7	
233.08185	3438954	14.5	401215	0.8	
235.02481	5966219	26.5	406249	1.3	
235.04014	3158419	13.1	376639	0.7	
235.06113	4562335	19.8	388525	1.0	
235.07650	3300263	13.8	397854	0.7	
237.04042	4505051	19.5	415113	1.0	
237.05566	5951459	26.4	398964	1.3	
237.07676	3322607	13.9	371864	0.7	
239.03497	6607910	29.5	370475	1.5	
239.05610	2726193	11.0	369767	0.6	
239.07136	4549690	19.7	388567	1.0	
240.04274	4292691	18.4	385350	1.0	
241.01429	4442734	19.1	383025	1.0	
241.03532	2776442	11.2	377414	0.6	
241.05063	8931970	40.3	363224	2.0	
241.06576	2440330	9.6	465349	0.5	
241.08710	3089558	12.7	529740	0.7	
242.02198	5600414	24.6	419531	1.2	
242.05849	3524274	14.7	405903	0.8	
243.02989	11733711	53.6	376779	2.6	
243.06627	7438052	33.3	401977	1.7	
244.00137	2565358	10.2	402362	0.6	
244.03777	3949314	16.7	417194	0.9	
245.00921	10255137	46.6	375282	2.3	
245.04551	9904950	44.9	388480	2.2	
245.06065	2978622	12.1	372287	0.7	
245.08191	4152650	17.7	381169	0.9	
246.01704	4412758	18.8	400226	1.0	
246.98844	3164535	12.9	511380	0.7	
247.02481	9919371	44.7	387533	2.2	
247.04014	3285908	13.5	424242	0.7	
247.06114	6952864	30.8	373854	1.5	
247.07639	3091880	12.6	406818	0.7	
248.03272	4067777	17.2	408469	0.9	
248.04787	4572618	19.6	500656	1.0	
249.00404	2491363	9.8	500358	0.6	
249.04045	11993079	54.5	398875	2.7	
249.05575	5840896	25.5	363146	1.3	
249.07689	4431884	18.9	394118	1.0	
250.02715	2491939	9.8	439570	0.6	
250.06346	2479927	9.7	374677	0.6	
251.01975	3038290	12.3	421606	0.7	
251.03502	6632538	29.2	417781	1.5	
251.05604	4725350	20.3	410063	1.1	
251.07135	5774447	25.2	408618	1.3	
252.04287	3648658	15.1	347808	0.8	
253.01432	3418294	14.0	353743	0.8	
253.05062	10340554	46.4	367945	2.3	
253.07190	2619606	10.3	467835	0.6	
253.08695	4062431	17.0	435004	0.9	
254.02198	3539182	14.6	389567	0.8	
254.05851	4159746	17.5	343603	0.9	
255.02990	10749222	48.3	359961	2.4	
