m/z	I	S/N	Res.	A %	
418.10134	4045832	13.5	259175	5.2	
418.10577	5038090	17.2	315591	4.9	
418.12099	5115919	17.5	292599	5.4	
418.12677	4191249	14.0	281558	4.3	
418.13764	5152789	17.7	314767	5.2	
418.14211	5011478	17.1	269580	5.9	
418.15885	4177948	14.0	284110	4.6	
419.04092	2817358	8.8	319202	2.3	
419.07723	6011226	20.9	281379	6.7	
419.09249	6900064	24.3	288266	7.8	
419.09832	5210466	17.9	291818	5.4	
419.11108	4571494	15.5	231327	5.2	
419.11355	17234278	63.5	279926	21.7	
419.11961	2607465	8.0	177357	3.8	
419.12879	8837484	31.6	309485	9.3	
419.13473	15567214	57.2	284186	19.5	
419.14996	17140084	63.1	292054	20.1	
419.16519	4348281	14.6	323121	4.0	
419.17111	21145978	78.3	298971	25.1	
419.18629	6310272	22.1	307744	6.2	
420.08509	2924216	9.2	325749	2.4	
420.10027	4305597	14.5	329665	3.8	
420.11689	4693699	15.9	287554	5.5	
420.12136	4699844	15.9	292635	4.9	
420.13214	3165896	10.1	320517	3.1	
420.13662	3925706	13.0	286907	3.7	
420.14276	2560716	7.8	337034	2.0	
420.15334	5460688	18.8	283033	6.0	
420.15773	3112657	9.9	283445	2.9	
420.17447	4979415	17.0	307645	4.8	
421.05629	3660809	12.0	252068	4.4	
421.07184	4435983	14.9	281026	5.1	
421.07538	4613136	15.6	287389	5.6	
421.09030	3853333	12.7	251919	4.4	
421.09282	10107926	36.5	286948	11.7	
421.10559	3752987	12.4	255672	4.1	
421.10806	10447899	37.7	283191	12.3	
421.11402	7842846	27.9	274197	10.1	
421.12923	19991586	73.9	287355	24.9	
421.13527	3505189	11.4	274894	4.2	
421.14445	8868904	31.8	279338	11.7	
421.15034	9337898	33.5	275010	12.0	
421.16569	11275311	40.9	290307	13.5	
421.18080	3297333	10.6	322211	2.8	
421.20200	2555964	7.8	340348	2.2	
422.07971	2997614	9.5	346631	2.2	
422.10077	4212085	14.1	315310	4.1	
422.11147	3595641	11.8	309085	3.6	
422.11590	4536698	15.3	255947	5.9	
422.13270	3907968	12.9	301949	3.9	
422.13707	4615554	15.6	314854	4.4	
422.14786	2877829	9.0	302270	2.6	
422.15240	2744711	8.5	265846	2.5	
422.16894	3821965	12.6	307335	3.6	
423.07214	4802248	16.3	316491	4.6	
423.08505	4180684	14.0	256731	5.5	
423.08743	8091341	28.8	292698	9.0	
423.10256	2546387	7.8	232782	2.5	
423.10618	5383892	18.5	208590	8.1	
423.10854	14532309	53.2	298420	16.6	
423.12135	3569369	11.7	180307	5.3	
423.12380	12779226	46.6	289533	14.9	
423.12960	10763996	38.9	290611	12.9	
423.13898	2731743	8.5	293345	2.6	
423.14486	20188898	74.7	287283	24.8	
423.16007	8146663	29.0	281659	9.6	
423.16589	5230313	18.0	255059	6.6	
423.18128	7159534	25.3	318304	7.5	
423.19649	2806515	8.8	292253	2.4	
424.09095	2646060	8.2	212134	3.3	
424.09523	5144621	17.6	274165	5.8	
424.11049	2729011	8.5	306416	2.3	
424.11646	3926069	13.0	269555	4.3	
424.12719	3503161	11.4	309889	3.6	
424.13149	5816378	20.2	286745	6.8	
424.14821	6391872	22.4	302253	7.3	
424.16348	2876485	9.0	334041	2.3	
425.06415	3489153	11.3	290097	3.6	
425.06672	3924353	13.0	310565	3.9	
425.07566	4235653	14.2	321429	3.9	
425.08188	2942343	9.3	267305	3.1	
425.08546	3113864	9.9	242164	3.3	
425.08787	5790089	20.1	307075	6.0	
425.10060	4759949	16.2	236607	5.7	
425.10302	11768206	42.7	284808	14.0	
425.10881	4053392	13.5	295787	4.2	
425.11825	5611924	19.4	286496	6.2	
425.12415	18395542	67.9	279103	23.1	
425.12995	4231576	14.2	261666	4.9	
425.13744	2765722	8.6	169990	3.4	
425.13940	12935579	47.2	296853	14.8	
425.14530	6955421	24.5	287458	7.9	
425.16051	13529506	49.4	277516	17.9	
425.17583	5292456	18.2	294615	5.8	
425.19686	3848623	12.7	310102	3.6	
426.07005	2496737	7.6	293400	2.4	
426.08962	2578152	7.9	356216	2.0	
426.10627	3983086	13.2	256681	4.4	
426.11103	4096752	13.7	311119	4.4	
426.12747	4702966	16.0	288780	4.9	
426.13190	3141367	10.0	258114	3.4	
426.14280	3974907	13.2	285766	3.9	
426.14711	4103932	13.7	295201	4.2	
426.16391	4265730	14.3	283618	4.4	
427.01812	3468334	11.3	296320	3.2	
427.07993	4225092	14.1	283102	4.7	
427.08229	6835269	24.0	292428	7.8	
427.09748	4526154	15.3	285812	4.9	
427.10108	3014731	9.5	258327	3.1	
