m/z	I	S/N	Res.	A %	
461.13937	9552937	32.9	266427	13.5	
461.14534	11568171	40.2	281434	14.5	
461.16053	14959665	52.5	276939	20.7	
461.17570	4598838	14.9	282660	5.6	
461.18158	6044729	20.1	281790	7.4	
461.19692	5805118	19.2	291509	6.9	
462.09582	2595208	7.6	277315	2.7	
462.11067	3322254	10.2	285114	4.1	
462.12753	4664724	15.1	296145	5.5	
462.13189	4437398	14.3	297423	5.2	
462.14264	3466649	10.7	280463	3.9	
462.14713	2800027	8.3	340610	2.6	
462.16398	4425121	14.2	303372	4.7	
462.16829	3368355	10.4	342492	3.1	
463.06698	3934957	12.4	254666	5.2	
463.08221	3003123	9.1	226442	3.6	
463.10093	3447546	10.7	227293	4.2	
463.10350	7620347	25.8	273405	10.0	
463.11608	4100863	13.0	219622	5.3	
463.11867	9688832	33.4	272634	13.9	
463.12464	6975234	23.5	243110	10.9	
463.13387	2922246	8.8	293100	2.8	
463.13984	14419720	50.5	266318	20.8	
463.14577	2565898	7.5	218491	3.0	
463.15500	7585550	25.7	265158	9.8	
463.16097	8202000	28.0	275425	11.1	
463.17624	9787157	33.7	275082	13.9	
463.19123	3440411	10.6	273208	4.0	
463.19729	3233565	9.9	283544	3.4	
463.21251	3175203	9.7	266381	3.7	
464.12645	4413555	14.2	299193	4.7	
464.14321	3442809	10.7	323428	3.3	
464.14762	3864698	12.2	318685	3.9	
464.17960	2565254	7.5	328327	2.3	
465.09532	3703255	11.6	267365	4.3	
465.09794	5044696	16.5	295940	5.7	
465.10397	2599898	7.6	245449	3.0	
465.11290	3457502	10.7	230995	5.5	
465.11641	4098527	13.0	248912	4.6	
465.11914	9853408	34.0	261293	14.3	
465.13439	10549734	36.5	270317	15.1	
465.14022	7539176	25.5	282886	10.5	
465.14942	3925483	12.4	257276	4.6	
465.15544	14662125	51.4	274554	20.7	
465.17074	7461363	25.3	287049	9.2	
465.17663	4776437	15.5	263423	6.0	
465.19180	6349307	21.2	290150	7.4	
466.10598	2784076	8.3	312153	2.7	
466.12259	3004242	9.1	293986	3.3	
466.12694	3208019	9.8	323324	3.0	
466.13759	2996055	9.0	249202	3.5	
466.14223	3591001	11.2	299100	4.1	
466.15880	4907871	16.0	272126	6.3	
467.07723	2978994	8.8	323619	2.9	
467.09230	3159223	9.4	287929	3.3	
467.09834	3310777	9.9	231777	4.2	
467.11357	7670975	25.4	260015	11.4	
467.11938	3606721	11.0	246648	4.9	
467.12876	4474053	14.1	262268	5.6	
467.13474	11328711	38.4	257168	17.5	
467.14070	4621513	14.6	263878	5.9	
467.14999	10882252	36.8	275033	15.1	
467.15586	6786255	22.3	260251	9.2	
467.17109	11717844	39.8	269153	17.0	
467.18625	5164250	16.5	270705	6.5	
467.20746	4103394	12.7	283257	4.6	
468.12138	3333683	10.0	300043	3.6	
468.13818	3943993	12.2	307713	4.4	
468.14263	2894395	8.5	254891	3.7	
468.15335	3199551	9.5	289802	3.5	
468.17457	3050054	9.0	296991	3.2	
469.09277	5699482	18.4	191757	9.2	
469.10794	5167007	16.5	230583	7.1	
469.11409	7235489	23.9	260596	10.1	
469.12927	10436519	35.2	272484	14.4	
469.13506	3529641	10.7	258667	4.5	
469.14442	4855725	15.4	291923	6.4	
469.15038	12029871	40.9	276326	17.1	
469.15626	3016625	8.9	257003	3.7	
469.16563	10915764	36.9	255540	16.5	
469.17154	3794870	11.7	249506	5.4	
469.18675	7548860	25.0	281658	9.5	
469.20207	3312578	9.9	265028	3.7	
470.10080	2996494	8.8	260988	3.2	
470.13694	3465499	10.5	297418	4.1	
470.15388	3326241	10.0	340421	3.2	
470.19016	2770223	8.0	285996	2.9	
471.07225	2569845	7.3	247817	3.3	
471.10841	7856771	26.1	240311	12.0	
471.12371	6492808	21.2	239304	9.1	
471.12965	10465930	35.3	248932	16.4	
471.14487	12833424	43.7	253854	20.3	
471.15072	4991634	15.9	271049	6.3	
471.16007	5259926	16.8	266445	7.7	
471.16606	10949272	37.0	277952	15.4	
471.18127	7488157	24.8	285036	9.4	
471.20232	3383973	10.2	315271	3.4	
472.09519	3153903	9.4	279038	3.4	
472.11197	2585590	7.4	262183	3.2	
472.11645	2625527	7.5	167892	4.5	
472.13738	2559999	7.3	278613	2.9	
472.14839	3611651	11.0	289389	3.8	
472.15263	4043781	12.5	291309	4.5	
472.16940	3169291	9.4	318194	3.2	
472.18475	2656273	7.6	314314	2.6	
473.06658	2519383	7.1	248625	3.3	
473.08765	3784031	11.6	222180	5.0	
473.10287	4691301	14.8	252127	6.4	
473.10894	3627367	11.1	260099	4.9	
473.12414	12449132	42.4	271037	17.8	
473.13020	3553647	10.8	265379	4.9	
473.13934	7196018	23.7	237151	11.4	
473.14533	9545076	32.1	269905	13.2	
473.16048	13854074	47.3	269956	21.0	
473.17570	4914560	15.6	259756	7.5	
473.18167	7652738	25.3	285958	10.0	
473.19684	6638983	21.7	263156	9.0	
474.11082	3016410	8.9	340389	2.7	
474.13200	4144866	12.9	274768	5.6	
474.14879	2623208	7.5	373318	2.0	
474.16397	4093678	12.7	286197	4.8	
474.16824	2695919	7.7	292515	2.9	
474.18507	2617077	7.5	340960	2.1	
475.06662	2523196	7.1	254646	2.9	
475.08231	3470402	10.5	214720	4.3	
475.10350	5779530	18.7	269056	8.1	
475.11868	8087631	26.9	257320	11.7	
475.12460	7028818	23.1	242954	10.7	
475.13395	2573397	7.3	258191	3.0	
475.13985	14047319	48.0	252150	23.1	
475.15496	7465053	24.7	240110	12.5	
475.16088	10360927	34.9	265357	15.2	
475.17613	12433509	42.3	262548	18.4	
475.19151	3397738	10.2	257169	4.2	
475.19725	2996332	8.8	309093	3.0	
475.21262	3741810	11.5	269059	4.6	
476.11139	2598336	7.4	251103	2.8	
476.12643	4432325	13.9	301279	4.9	
476.14335	3957195	12.2	316360	4.3	
476.14750	4067789	12.6	290794	4.7	
476.15840	3182033	9.5	252886	4.3	
476.17960	3141081	9.3	260881	4.0	
477.08267	3020584	8.9	229275	3.7	
477.09786	4434734	13.9	193936	6.4	
477.11302	2620211	7.5	316051	2.3	
477.11909	9362229	31.4	257877	14.1	
477.13433	8887099	29.7	267247	13.1	
477.14022	8330045	27.7	257780	11.9	
477.14956	2932545	8.6	253124	3.6	
477.15234	3625794	11.0	280897	3.6	
477.15544	16079683	55.2	261330	24.8	
477.17067	6847305	22.5	275702	9.4	
477.17652	7412555	24.5	254765	10.8	
477.19179	7965521	26.4	264995	11.3	
477.22833	2775390	8.0	204348	3.6	
478.10577	3726500	11.4	270092	5.0	
478.12698	3112108	9.2	295023	3.5	
478.13775	3129520	9.3	264139	3.7	
478.14186	3173553	9.4	317024	3.2	
478.15887	4377784	13.7	295617	5.0	
478.16330	3287225	9.8	300568	3.5	
478.17418	2744509	7.9	294967	2.8	
478.19506	3243205	9.7	302159	3.5	
479.07731	2600461	7.4	151506	4.3	
479.09831	3802644	11.7	226944	5.3	
479.11359	8101402	26.9	239428	13.0	
479.11975	3260956	9.7	236063	4.5	
479.12882	3837472	11.8	289220	4.4	
479.13476	12471842	42.4	255918	20.3	
479.14994	9625128	32.3	258872	14.5	
479.15584	7781930	25.8	273857	11.4	
479.16484	3263021	9.8	233753	4.5	
479.17111	14163503	48.4	270994	20.7	
479.18627	5994037	19.4	287799	7.7	
479.19236	2907703	8.5	283279	3.1	
479.20751	4063805	12.6	267816	4.9	
480.12142	3950481	12.2	294900	4.8	
480.15337	3612573	11.0	255909	4.5	
480.15763	3737502	11.4	300713	4.1	
480.17449	4110245	12.8	297973	4.3	
481.09286	4819194	15.3	229726	7.5	
481.10800	3543296	10.7	242824	5.0	
481.11398	5581058	18.0	273756	8.2	
481.12917	9224455	30.9	219311	15.8	
481.13497	5107978	16.3	254188	7.2	
481.14431	4480269	14.1	215731	5.7	
481.14718	2607374	7.4	351396	2.3	
481.15033	13443343	45.9	256901	20.2	
481.15662	2822930	8.2	172973	4.9	
481.16552	9855253	33.1	269112	14.4	
481.17147	4694295	14.8	265601	6.4	
481.18672	10125597	34.1	270632	14.7	
481.20186	4579619	14.4	285778	5.5	
482.10068	3568241	10.8	268309	4.6	
482.11592	2769526	8.0	360124	2.3	
482.13292	3307133	9.9	237326	4.6	
482.13700	3717758	11.4	278926	5.0	
482.14808	2531202	7.1	178458	4.1	
482.15188	2626180	7.5	380739	2.1	
482.15389	3641989	11.1	338462	3.7	
482.15817	3314310	9.9	268337	3.8	
482.16897	3842698	11.8	274135	4.7	
482.18998	2793106	8.1	301587	3.2	
483.10558	3554279	10.8	202532	4.9	
483.10848	7164904	23.6	249318	11.2	
483.12369	5147630	16.4	264152	6.8	
483.12956	9634800	32.4	261803	13.9	
483.14185	3060724	9.0	300977	2.9	
483.14487	12530677	42.6	264210	19.0	
483.15085	6198264	20.2	253617	8.6	
483.16006	4543483	14.3	284617	5.3	
483.16596	12710909	43.3	262385	19.3	
483.18126	8283139	27.6	263288	12.1	
483.19629	2530313	7.1	255643	2.9	
483.20243	4717579	14.9	273432	5.9	
483.21744	3248145	9.7	263250	3.8	
484.11193	2653534	7.6	205475	4.2	
484.11629	3343711	10.0	284227	3.9	
484.13737	2813287	8.1	300965	2.8	
484.14815	3806571	11.7	254930	5.0	
484.15253	3050861	9.0	257904	3.7	
484.16963	2912627	8.5	305243	3.0	
484.18457	3222905	9.6	295392	3.4	
485.08790	3003081	8.8	264630	3.9	
485.09674	3047116	9.0	325508	2.9	
485.10289	4600527	14.5	159072	7.9	
485.10886	4861649	15.4	245480	7.4	
485.12138	5394134	17.3	230285	6.6	
485.12418	9955030	33.5	239670	16.0	
485.13012	2848473	8.3	207293	4.2	
485.13939	5619420	18.1	258237	8.1	
485.14527	9651934	32.4	269348	14.1	
485.15120	11892449	40.4	246298	19.7	
485.16048	11826916	40.1	249333	20.1	
485.16641	4275942	13.3	258216	5.7	
485.17558	3154666	9.4	221556	5.2	
485.18160	8644332	28.8	263080	12.8	
485.19687	5828338	18.8	263869	8.0	
486.12769	3059788	9.0	302861	3.3	
486.13175	3083342	9.1	274982	3.8	
486.14691	2834516	8.2	292343	3.0	
486.16391	3346522	10.0	238695	4.7	
486.18518	2688098	7.7	300313	3.2	
487.10341	5401016	17.3	252500	8.0	
487.11864	5874110	19.0	243742	9.4	
487.12463	4712896	14.9	273785	6.4	
487.13980	12609990	42.9	249610	20.4	
487.14568	3531208	10.7	206327	5.0	
487.15510	7426508	24.5	250102	11.6	
487.16099	10889677	36.8	252589	17.1	
487.17616	10516947	35.5	243318	17.0	
487.18201	6494678	21.2	237122	10.0	
487.19135	3815897	11.7	251419	5.3	
487.19738	4059611	12.6	280726	4.9	
487.21251	3182049	9.5	296590	3.4	
488.11141	2592560	7.4	249774	3.2	
488.12636	4297526	13.4	277215	5.3	
488.14328	4178748	13.0	267002	5.4	
488.14756	3801918	11.7	295921	4.2	
488.15839	2758466	7.9	247596	3.4	
488.16252	2691907	7.7	389664	2.1	
488.16453	2992964	8.8	367156	2.4	
488.17956	2857801	8.3	310309	2.8	
489.09790	4693152	14.4	236982	7.2	
489.11907	8240296	26.7	230160	14.4	
489.13436	6157486	19.5	267629	8.6	
489.14021	8830128	28.8	241269	13.9	
489.15233	2923700	8.3	303559	2.8	
489.15546	13032629	43.3	251269	20.8	
489.17069	5381307	16.8	245776	8.1	
489.17658	8850621	28.8	268837	13.0	
489.19182	7965891	25.8	273422	11.3	
489.20671	2874569	8.1	289004	2.9	
489.21291	2612427	7.2	322620	2.2	
490.12682	3180064	9.2	269776	4.0	
490.14183	2536998	7.0	300790	2.5	
490.15885	5232172	16.3	282417	6.6	
490.16316	3047981	8.7	317102	3.1	
490.19515	2774585	7.8	301114	2.7	
491.09845	4231051	12.8	261677	5.8	
491.11357	6119312	19.4	256010	9.1	
491.11965	3108754	9.0	242819	4.1	
491.12851	3302294	9.6	255256	4.4	
491.13470	11648920	38.5	243621	18.7	
491.14996	6750110	21.6	255989	10.1	
491.15589	8363936	27.1	252289	13.2	
491.17105	12881829	42.8	262933	20.0	
491.18633	5412779	16.9	265803	7.2	
491.19228	5158830	16.1	276117	6.6	
491.20743	5261235	16.4	239060	8.4	
492.12111	3211528	9.3	271880	4.3	
492.14236	3834128	11.5	239395	5.4	
492.15368	2816276	7.9	236342	4.0	
492.15764	2770198	7.8	283070	3.3	
492.17462	3410204	10.0	315231	3.5	
493.07756	2705005	7.6	302885	2.3	
493.09284	3317363	9.7	238830	5.0	
493.11393	4764283	14.7	244416	7.0	
493.12924	7101057	22.8	232057	12.1	
493.13497	5046915	15.7	261143	6.9	
493.13730	2648708	7.4	367836	2.2	
493.14424	2875014	8.1	268293	3.5	
493.15030	13591176	45.2	252273	21.4	
493.16553	7543438	24.3	251036	11.7	
493.17151	5343889	16.7	275052	7.1	
493.18079	2640532	7.3	266528	3.5	
493.18671	8700566	28.3	261659	13.6	
493.20187	4518556	13.8	246735	6.4	
493.22274	2872996	8.1	313571	2.8	
494.10075	2607083	7.2	277077	3.0	
494.13254	2746359	7.7	269738	3.5	
494.13682	3019769	8.6	238357	4.3	
494.15389	3212287	9.3	321348	3.2	
494.17307	2603014	7.2	324923	2.4	
494.19032	3349517	9.8	298302	3.6	
495.10845	5547364	17.4	205305	10.8	
495.12358	3760490	11.2	197647	6.8	
495.12958	7460204	24.0	241174	12.1	
495.14484	8553841	27.8	238069	14.3	
495.15071	6149492	19.5	248057	9.6	
495.16000	3757431	11.2	239052	5.2	
495.16604	11457913	37.8	254771	18.0	
495.18133	7073151	22.7	261199	10.1	
495.18731	2865537	8.1	288689	3.0	
495.20234	4846983	15.0	278940	6.1	
495.21751	2798989	7.9	235965	3.5	
496.13344	2608867	7.2	319285	2.4	
496.15265	2936554	8.4	296719	3.3	
496.18471	2616054	7.2	239096	3.6	
497.10292	2767949	7.8	228295	3.9	
497.12417	6287445	19.9	237539	10.2	
497.13014	3940439	11.8	263378	4.9	
497.13932	3713115	11.0	281163	4.7	
497.14529	9853021	32.3	256331	14.9	
497.16055	10352739	34.0	256195	15.6	
497.16644	4290661	13.0	244177	6.3	
497.17590	3226728	9.4	268088	4.2	
497.18170	9853034	32.3	262648	15.0	
497.19681	5273712	16.4	270822	7.0	
497.21798	3279992	9.5	256005	4.1	
498.13162	3008974	8.6	240512	4.3	
498.16413	2862554	8.1	267323	3.3	
499.10349	4090681	12.3	270964	5.4	
499.11865	4160318	12.6	226528	6.3	
499.12451	3939137	11.8	219087	6.0	
499.13970	8674118	28.2	222312	15.1	
499.15522	4203340	12.7	261904	6.1	
499.16096	8747854	28.5	260008	13.1	
499.17618	8452948	27.4	252622	12.9	
499.19138	2603866	7.2	356846	2.2	
499.19728	6048604	19.1	249125	9.0	
499.21247	4518754	13.8	268768	5.8	
500.14335	3616957	10.7	241925	5.3	
500.14732	2894015	8.2	315999	2.8	
500.16447	2626757	7.3	367641	2.2	
501.09763	2891298	8.2	177753	4.4	
501.11906	6184490	19.6	228991	10.2	
501.13444	5258800	16.4	219590	8.8	
501.14024	5867058	18.5	247202	8.5	
501.15220	2686518	7.5	343960	2.6	
501.15545	9117240	29.7	266075	13.7	
501.16133	2848314	8.0	260387	3.3	
501.17064	5148222	16.0	287662	6.4	
501.17664	6524480	20.8	268718	9.6	
501.19174	8711749	28.3	253836	12.9	
501.21312	2915917	8.3	254863	4.5	
502.13791	2642855	7.3	306649	2.6	
502.14211	3045289	8.7	247754	4.0	
502.15893	2760623	7.7	323333	2.8	
503.09807	2598158	7.2	257384	3.4	
503.11344	4110612	12.4	246484	6.0	
503.13469	8175900	26.5	243590	13.0	
503.15008	5615905	17.6	247525	8.8	
503.15363	2552099	7.0	409573	2.2	
503.15593	6600996	21.0	276821	9.1	
503.16168	16408870	55.0	242408	30.4	
503.17105	11735337	38.8	241337	19.3	
503.18637	3931439	11.8	257437	5.4	
503.19218	6246705	19.8	277663	8.4	
503.20743	5304631	16.5	275376	7.0	
504.14243	2955924	8.4	301855	3.2	
504.15714	2589338	7.1	293469	3.0	
504.16544	3256989	9.5	294474	3.7	
504.17460	3789472	11.3	276572	4.9	
505.09292	2766840	7.8	286171	3.1	
505.11398	5061632	15.7	236697	9.2	
505.12919	6294533	20.0	208668	11.0	
505.13523	4783112	14.7	243261	7.0	
505.15032	10974221	36.2	245750	18.3	
505.16565	6751251	21.5	235867	11.0	
505.17144	7101461	22.8	243657	11.7	
505.18671	9155611	29.9	264331	13.5	
505.20191	3011616	8.6	282291	3.4	
505.22290	3528744	10.4	256434	4.5	
506.15387	3874180	11.6	306333	4.4	
506.15810	2838918	8.0	274055	3.3	
506.19017	2728338	7.6	304127	2.9	
507.10832	3858153	11.5	187985	5.8	
507.12962	8312561	26.9	242531	13.6	
507.13295	2771698	7.8	214707	3.9	
507.14496	7155447	22.9	246629	11.2	
507.15070	6663929	21.2	244048	10.1	
507.16596	12740350	42.3	251901	20.8	
507.18139	6694660	21.3	266415	9.3	
507.18697	5453574	17.1	265815	7.6	
507.20232	6274828	19.9	266530	8.8	
507.21777	2604818	7.2	301544	2.5	
508.14842	2612334	7.2	239232	3.7	
508.16945	4995190	15.5	258286	7.1	
508.17403	2594935	7.2	267859	3.5	
509.07261	2761159	7.7	243521	3.0	
509.08794	3194317	9.2	216848	4.9	
509.10276	2902482	8.2	190665	5.0	
509.12420	7580123	24.4	219465	12.7	
509.13006	3103197	8.9	213160	4.8	
509.13942	3358176	9.8	261624	4.5	
509.14531	9419234	30.8	239783	16.0	
509.16052	8501736	27.6	233555	15.1	
509.16631	5853674	18.4	250015	8.9	
509.17590	4186606	12.7	253307	5.9	
509.17930	2664943	7.4	359871	2.2	
509.18163	10742256	35.3	268187	16.3	
509.19694	5126646	15.9	277159	6.5	
509.20281	2658296	7.4	184442	4.5	
509.21797	2771453	7.8	296032	3.0	
510.13184	2922323	8.3	307080	3.2	
510.18517	3218279	9.3	277698	4.7	
511.10355	3873982	11.6	222491	6.3	
511.11845	3700932	11.0	232093	5.9	
511.12448	4320454	13.1	255640	6.0	
511.13984	9317580	30.4	241467	15.8	
511.14531	4900046	15.1	293654	5.7	
511.14758	5670095	17.8	288602	7.6	
511.15504	4635857	14.2	245655	6.9	
511.15757	2553042	7.0	291352	2.6	
511.16095	11840723	39.1	260635	18.4	
511.17617	8191193	26.5	259089	12.4	
511.18207	3972315	11.9	250259	5.9	
511.19078	2677983	7.4	263148	3.2	
511.19721	7904481	25.5	244430	12.5	
511.21272	4857063	15.0	238246	7.4	
511.23358	2582767	7.1	254898	2.8	
512.14734	2680388	7.4	234975	3.7	
512.16442	3055178	8.7	346557	3.2	
512.17973	3007056	8.6	264156	3.8	
513.09555	2855846	7.9	252610	4.0	
513.11921	5607343	17.2	259724	8.3	
513.13421	4169653	12.3	256892	6.3	
513.14023	6690743	20.8	261531	9.6	
513.15543	10989500	35.4	241702	18.9	
513.16121	4982719	15.1	249236	8.0	
513.17055	4460482	13.3	243977	7.2	
513.17651	11354052	36.6	250414	18.3	
513.19172	7782346	24.5	253209	11.9	
513.21273	2594770	7.0	294764	2.8	
514.14184	3434797	9.8	315880	3.7	
514.15893	2989363	8.3	270892	3.6	
514.16306	2614581	7.0	282690	2.9	
514.18028	3559739	10.2	314861	3.8	
514.19915	2629954	7.1	300036	2.7	
515.09824	2697874	7.3	228040	3.1	
515.11337	4142744	12.2	178668	7.3	
515.13477	8909471	28.3	251012	14.1	
515.14102	2622114	7.1	235598	3.9	
515.15009	5722789	17.6	270968	8.0	
515.15580	7910056	24.9	261504	11.6	
515.17112	11014829	35.4	255619	18.2	
515.17719	2944687	8.2	270444	3.4	
515.18638	4702899	14.1	246659	7.1	
515.19218	7774901	24.5	249542	12.6	
515.20481	2796218	7.7	325498	3.1	
515.20747	6224571	19.2	263734	9.0	
515.21333	19772092	65.0	255847	32.9	
516.12130	2785296	7.6	247416	3.9	
516.13799	3683350	10.7	267384	4.9	
516.14243	2664472	7.2	268248	3.3	
516.15973	2621470	7.1	292388	2.9	
516.17451	2953252	8.2	264107	3.9	
516.17885	3337253	9.5	304313	3.6	
516.21689	5049396	15.3	259108	7.8	
517.09277	2595194	7.0	190678	3.6	
517.11397	5041538	15.2	219799	9.6	
517.12620	3884423	11.3	259935	5.0	
517.12925	4971912	15.0	229874	8.3	
517.13510	5903754	18.2	257533	8.8	
517.14429	3666318	10.6	223034	6.0	
517.15036	11625872	37.5	255984	18.3	
517.15603	2881426	7.9	226015	4.2	
517.16569	7425430	23.3	242364	12.0	
517.17143	8553880	27.1	245814	14.0	
517.18671	11892125	38.4	253262	19.3	
517.20199	4418979	13.1	251445	6.7	
517.20784	3470757	9.9	261959	4.7	
517.22307	3714475	10.8	276821	4.5	
518.13710	2975488	8.3	273524	3.9	
518.15395	3856134	11.2	290649	4.7	
518.15823	3270408	9.3	282743	4.2	
518.16897	2918156	8.1	271660	3.4	
518.19015	3417876	9.8	284130	4.2	
519.10839	4075626	12.0	214685	6.5	
519.12965	7524466	23.6	235520	13.2	
519.14486	7723128	24.3	238065	13.2	
519.15066	7252090	22.7	262469	11.0	
519.16027	2919550	8.1	272878	3.5	
519.16285	3668094	10.6	356170	3.5	
519.16595	13768832	44.7	237729	24.5	
519.18118	6426757	19.9	241825	11.0	
519.18721	6770824	21.1	237208	11.5	
519.20238	7219341	22.6	270092	10.5	
519.21749	2749587	7.5	293027	2.8	
520.15239	3379695	9.6	292817	4.1	
520.16955	3736054	10.8	289665	4.7	
520.17375	3089911	8.6	210565	5.4	
520.20576	2579971	6.9	305333	2.7	
521.10900	3669844	10.6	210931	6.0	
521.12414	7863130	24.8	220775	15.0	
521.13918	3454815	9.9	251436	4.8	
521.14522	10181473	32.6	250836	16.7	
521.16053	9595751	30.6	241887	16.3	
521.16640	7748458	24.4	253401	13.9	
521.17561	2626413	7.1	300919	2.8	
521.18162	13024111	42.2	248298	21.5	
521.19687	5210997	15.8	249988	7.8	
521.20268	4295543	12.7	260588	6.0	
521.21787	4352893	12.9	274079	5.9	
522.13175	2723025	7.4	299289	3.3	
522.14885	2829527	7.8	277268	3.5	
522.15343	2960601	8.2	303019	3.0	
522.16401	4052189	11.9	261715	5.6	
522.16806	2585823	6.9	300465	2.8	
522.18533	3498213	10.0	240869	5.2	
523.10351	3597883	10.4	237010	5.6	
523.11875	2669121	7.2	185585	4.2	
523.12457	4927043	14.9	236211	7.8	
523.13974	8144457	25.7	217473	16.0	
523.14558	4853323	14.6	244387	7.8	
523.15485	4155982	12.2	234735	6.6	
523.16096	12529232	40.5	247207	21.9	
523.17615	8236630	26.0	246444	13.7	
523.18199	4447832	13.2	291419	5.6	
523.19735	10886750	35.0	247519	17.7	
523.21252	4013668	11.8	287059	4.9	
523.23393	3671659	10.6	255160	5.0	
524.14325	3590078	10.3	263002	5.0	
524.14741	3264448	9.2	292925	3.7	
524.16432	3243974	9.2	314143	3.5	
524.16856	3949511	11.5	231810	6.5	
524.20077	2847699	7.8	251362	3.9	
525.09767	2807073	7.7	205751	3.4	
525.11913	5447977	16.6	200081	10.0	
525.13416	4535599	13.5	215243	8.0	
525.14017	7641393	24.0	232472	13.3	
525.14372	3432754	9.8	277170	4.5	
525.15540	10674487	34.3	243957	18.7	
525.16130	5800249	17.8	246954	9.0	
525.17067	4245820	12.5	188832	8.8	
525.17654	12030270	38.9	250672	19.8	
525.19177	7135556	22.3	258056	11.1	
525.21291	5437772	16.6	261168	8.0	
525.22836	2793810	7.6	286242	3.1	
526.12689	2732704	7.4	288302	3.4	
526.15883	3652268	10.5	292345	4.3	
526.18020	2757300	7.5	311302	3.0	
526.19500	3012281	8.4	232718	4.8	
526.21630	2562753	6.9	257281	3.6	
527.09815	2634761	7.1	199444	3.9	
527.11354	2784271	7.6	220595	3.4	
527.13464	9081879	28.9	203063	17.5	
527.14058	3196953	9.0	277533	4.0	
527.14978	4852764	14.6	263397	7.3	
527.15580	8832030	28.0	241502	15.0	
527.16809	4037667	11.8	222494	5.6	
527.17107	9229348	29.4	247265	15.5	
527.17695	3758118	10.9	246641	5.5	
527.18619	3106858	8.7	262425	4.2	
527.19214	9487404	30.3	242683	15.9	
527.20746	6700082	20.8	250507	10.5	
527.22854	3298362	9.3	239057	4.1	
528.17449	3679641	10.6	259524	5.1	
528.17887	3259803	9.2	280079	4.0	
529.11403	4206326	12.4	202337	7.8	
529.12925	4119292	12.1	214790	7.6	
529.13514	3780350	11.0	301717	4.4	
529.15037	9217795	29.3	225437	17.0	
529.15823	4300551	12.7	290198	6.1	
529.16548	6559497	20.4	233534	11.4	
529.17151	8779531	27.9	249117	14.5	
529.18675	8701713	27.6	248333	14.2	
529.20182	3778327	11.0	242676	5.8	
529.20774	4671257	14.0	252630	7.2	
529.22305	2822943	7.7	261600	3.5	
530.15391	3315832	9.4	233226	5.4	
530.15808	3116154	8.7	266767	4.0	
530.19033	3229830	9.1	222634	5.1	
531.10600	2903513	8.0	172243	5.0	
531.12969	5411298	16.5	225080	9.1	
531.14492	5087720	15.4	234394	8.9	
531.15081	5364202	16.3	260705	8.2	
531.16608	10160623	32.5	236225	18.1	
531.18116	5738997	17.6	212868	11.0	
531.18712	6126071	18.9	251706	10.4	
531.20247	6273533	19.4	265282	9.5	
532.15220	2537309	6.8	320334	2.5	
532.16982	3299172	9.3	252204	4.5	
533.12419	3172549	8.9	253325	4.2	
533.14531	7392461	23.2	240370	12.7	
533.16049	5557459	17.0	236992	9.6	
533.16633	7503061	23.5	246216	12.3	
533.18165	9456859	30.1	254313	15.2	
533.19698	4547808	13.6	251391	7.0	
533.20285	4023522	11.8	264514	5.3	
533.21810	4687080	14.0	244690	7.2	
534.18494	3120718	8.7	299799	3.4	
535.10337	3028898	8.4	174624	4.7	
535.11835	3212200	9.0	180308	5.9	
535.12429	3206058	9.0	259554	4.3	
535.13972	5930928	18.2	240983	10.4	
535.15472	2888629	7.9	266138	3.9	
535.16086	9240503	29.4	243932	15.7	
535.17323	2772924	7.6	281685	3.2	
535.17616	6895549	21.5	237974	12.0	
535.18215	6002624	18.5	259525	9.0	
535.19732	7548869	23.7	256857	12.0	
535.21259	2967499	8.2	264762	3.9	
535.23344	3014610	8.4	254264	4.0	
536.16476	2593067	6.9	257648	3.4	
537.11912	3485323	10.0	239948	6.0	
537.13436	3217041	9.1	175821	5.9	
537.14023	7070355	22.1	247258	11.6	
537.15223	3100312	8.7	249610	4.2	
537.15544	6187673	19.1	249690	10.1	
537.16127	4375195	13.0	270683	6.1	
537.17043	2726558	7.4	247670	3.8	
537.17648	10756769	34.5	253444	17.5	
537.19170	6204070	19.2	259527	9.5	
537.19753	5235369	15.9	253499	8.0	
537.21290	5491374	16.7	261913	7.9	
537.22808	2843316	7.8	254516	3.6	
538.18013	3038227	8.5	318178	3.3	
539.09823	3041638	8.5	209482	5.2	
539.13468	5008756	15.1	239798	8.6	
539.14979	3843449	11.2	207518	7.1	
539.15587	8127868	25.7	239013	13.8	
539.16814	3319168	9.4	278924	4.1	
539.17102	8627585	27.3	237298	15.7	
539.17704	3552643	10.2	264454	4.7	
539.18650	2762119	7.5	199537	5.0	
539.19215	9176457	29.2	257622	15.6	
539.20745	5166479	15.6	252034	7.8	
539.22859	2846102	7.8	287921	3.3	
540.15949	2553582	6.7	265565	3.2	
541.11386	2962509	8.0	176709	5.2	
541.12918	3749971	10.6	277613	5.0	
541.13502	4120661	11.9	228928	6.7	
541.15044	7874651	24.3	239672	14.1	
541.15834	2752606	7.3	356194	2.6	
541.16565	4847713	14.3	195671	9.4	
541.17153	9447523	29.5	252578	16.1	
541.18668	7600232	23.4	258613	12.1	
541.20776	5707888	17.1	237324	9.9	
541.22313	3610742	10.2	256871	5.2	
542.15376	3020236	8.2	234656	4.9	
542.19434	2603483	6.8	284348	3.0	
543.12957	5401396	16.1	245413	8.4	
543.14482	5260089	15.6	190902	9.6	
