m/z	I	S/N	Res.	I %	
100.33332	7558655	37.5	1229367	0.4	
147.02991	2413638	10.6	808123	0.1	
149.00857	7898001	39.3	853009	0.4	
149.00916	92393872	480.5	841760	4.4	
150.01251	3385280	15.7	840811	0.2	
150.49957	3763929	17.7	783547	0.2	
150.50027	3872985	18.2	845234	0.2	
159.02989	3726233	17.5	860705	0.2	
161.04554	6459792	31.7	823316	0.3	
165.01935	2456541	10.8	741089	0.1	
165.04045	3355872	15.4	718543	0.2	
167.03498	2446394	10.7	804734	0.1	
168.00642	5380590	25.9	802578	0.3	
169.01346	3794096	17.6	840779	0.2	
169.01425	50621104	259.4	740916	2.4	
170.01761	4254586	20.0	789671	0.2	
173.00916	9123330	45.0	774268	0.4	
175.02481	8351708	40.9	732891	0.4	
175.06119	3501029	16.0	724712	0.2	
176.10635	9389286	46.2	727903	0.4	
177.01933	3485646	15.9	716090	0.2	
177.03961	5531603	26.4	747592	0.3	
177.04046	82018768	418.9	703580	3.9	
178.04382	5975769	28.6	731551	0.3	
178.99861	4757464	22.4	744518	0.2	
179.03498	6099938	29.2	721062	0.3	
179.05611	14701543	73.2	713506	0.7	
181.01425	4490247	20.9	735774	0.2	
181.05063	11404817	56.2	716657	0.5	
183.02990	3213905	14.4	675358	0.2	
189.04046	2397629	10.2	780960	0.1	
191.01874	3007070	13.2	787764	0.1	
191.01939	2990686	13.1	1267709	0.1	
191.01973	41857628	209.3	652744	2.0	
191.03499	4594276	21.2	637023	0.2	
191.05611	4568171	21.1	713610	0.2	
192.02309	3479484	15.6	756065	0.2	
193.01424	11341082	55.3	634806	0.5	
193.03435	4612386	21.3	751059	0.2	
193.03538	61166880	306.8	640134	2.9	
193.05064	7390503	35.3	688415	0.3	
194.03874	3641994	16.4	665333	0.2	
194.99351	15091686	73.9	643766	0.7	
195.02990	5285876	24.6	688705	0.2	
195.04998	5712891	26.8	710771	0.3	
195.05103	81229816	406.6	634767	3.8	
195.06625	4550657	20.9	591624	0.2	
