m/z	I	S/N	Res.	I %	
159.02991	2884169	22.1	774163	1.5	
161.04555	9838308	80.2	785451	5.0	
165.04046	3042135	23.3	770445	1.6	
167.03498	2817071	21.4	789836	1.4	
169.01425	7708186	61.8	750398	3.9	
177.04046	13602450	109.9	713684	7.0	
179.03499	3757532	28.8	708473	1.9	
179.05522	2765535	20.7	735377	1.4	
179.05581	2242527	16.4	1776838	1.1	
179.05611	38952928	317.6	693105	20.0	
179.05641	3016671	22.8	1429844	1.5	
180.05946	3223179	24.5	713766	1.7	
181.05063	4352826	33.6	722247	2.2	
185.04555	3095585	23.3	700076	1.6	
191.03498	2623727	19.3	707861	1.3	
191.05612	6545651	51.1	664321	3.4	
193.03537	5863078	45.5	651312	3.0	
193.05063	4993705	38.5	677455	2.6	
195.02989	3497577	26.3	606444	1.8	
195.05102	14873710	118.1	643641	7.6	
195.06629	3126385	23.3	637470	1.6	
197.04555	7717438	60.3	611697	4.0	
199.06121	3612703	27.1	651448	1.9	
201.04045	2861060	21.0	647075	1.5	
203.05611	3466749	25.8	653480	1.8	
205.03536	3817975	28.6	648775	2.0	
205.05063	2706427	19.7	693378	1.4	
207.02989	2408960	17.3	621332	1.2	
207.05103	5459974	41.6	612838	2.8	
207.06627	5153802	39.2	601232	2.6	
209.04555	6367768	48.9	635098	3.3	
209.06667	2824734	20.6	612185	1.4	
211.02481	2665519	19.2	632073	1.4	
211.06119	5598265	42.6	588184	2.9	
213.04047	4138585	30.9	625216	2.1	
213.07688	2429027	17.3	594904	1.2	
215.05610	6464652	49.2	584707	3.3	
219.02988	2390263	16.9	597221	1.2	
219.05103	8326397	64.0	558622	4.3	
219.06628	2522881	18.0	614916	1.3	
221.04555	5120831	38.4	576410	2.6	
221.06668	12922693	100.0	572077	6.6	
223.02483	2252674	15.8	615811	1.2	
223.06119	6500749	49.3	571104	3.3	
225.04045	5310422	39.7	548637	2.7	
225.06160	2258908	15.8	600776	1.2	
225.07684	4370401	32.3	534889	2.2	
227.05611	8101423	61.6	554496	4.2	
229.07176	5296268	39.4	557530	2.7	
231.05103	3625699	26.4	568691	1.9	
233.04555	3962177	29.0	549616	2.0	
233.06667	7546184	57.0	545216	3.9	
233.08192	2292045	15.9	571909	1.2	
235.02482	2745246	19.4	510216	1.4	
235.06119	4778922	35.2	555589	2.4	
235.08233	2273712	15.7	552218	1.2	
237.04047	4515337	33.1	553804	2.3	
237.06159	16259599	124.5	522156	8.3	
237.07685	4122132	30.1	532581	2.1	
239.05611	7924853	59.7	519068	4.1	
239.07724	3619964	26.2	523160	1.9	
241.03536	3504856	25.1	523191	1.8	
241.07176	7513827	56.2	518780	3.8	
243.05104	3841351	27.7	517834	2.0	
243.08741	2292562	15.7	560681	1.2	
245.06667	7609270	56.9	504211	3.9	
247.02479	4739603	34.5	491757	2.4	
247.06119	5427742	39.8	501381	2.8	
247.08235	3745317	26.8	531397	1.9	
249.04046	4929665	36.0	498397	2.5	
249.06159	13412488	101.3	503539	6.9	
249.07685	5077133	37.1	517758	2.6	
251.05612	10341102	77.6	495515	5.3	
251.07724	24828660	189.2	487861	12.7	
251.09253	2386170	16.3	481937	1.2	
253.07176	8443226	62.7	499421	4.3	
255.05102	4884408	35.4	489063	2.5	
255.07215	4199358	30.2	524804	2.2	
255.08740	3839939	27.4	461496	2.0	
257.06669	9042462	67.3	497094	4.6	
259.06122	4331643	31.0	505087	2.2	
259.08232	6408321	46.8	466066	3.3	
261.00408	3850948	27.3	474659	2.0	
261.04048	3428047	24.1	445078	1.8	
261.06159	3248853	22.7	507255	1.7	
261.07685	3948249	28.1	478958	2.0	
263.05610	6736169	49.3	496337	3.5	
263.07723	10254639	76.1	467107	5.3	
263.09253	2660660	18.2	485001	1.4	
265.03538	2820980	19.4	523698	1.4	
265.07176	7644031	55.9	469556	3.9	
265.09292	2780549	19.0	495098	1.4	
267.05104	7065029	51.5	483583	3.6	
267.07216	18599370	138.8	459624	9.5	
267.08740	4832720	34.6	486774	2.5	
269.06668	14123023	104.9	453190	7.2	
269.08781	9484309	69.8	460493	4.9	
271.04592	6208073	44.7	444660	3.2	
271.06119	2525773	17.0	525061	1.3	
271.08234	8837715	64.5	466559	4.5	
273.04047	2535040	17.1	498571	1.3	
273.06159	4544646	32.2	493276	2.3	
273.07686	3802250	26.6	479860	1.9	
273.09797	2315920	15.4	505812	1.2	
275.05613	4868789	34.6	466313	2.5	
275.07723	7558843	54.9	444635	3.9	
275.09250	3112639	21.4	461520	1.6	
277.03538	3494105	24.3	461667	1.8	
277.07176	6510819	47.0	448050	3.3	
277.09290	6791401	49.1	447866	3.5	
279.05103	5893886	42.0	442254	3.0	
279.07215	3739395	25.9	487148	1.9	
279.08739	6632200	47.6	452039	3.4	
281.06665	8301849	60.0	446242	4.3	
281.08779	24567070	181.6	434063	12.6	
281.10309	2767139	18.7	481656	1.4	
282.09120	2624552	17.6	449172	1.3	
283.04593	3048226	20.8	465922	1.6	
283.08232	7591723	54.7	435873	3.9	
285.06160	6879530	49.4	451324	3.5	
285.08269	3024175	20.6	469227	1.5	
285.09799	5038387	35.6	426992	2.6	
287.05610	3876642	26.8	430395	2.0	
287.07724	17691430	129.4	430776	9.1	
287.09249	2408235	15.9	440307	1.2	
288.08060	2713632	18.1	467804	1.4	
289.07177	5899540	41.8	463008	3.0	
289.09288	5341465	37.7	430928	2.7	
291.05103	3534577	24.2	476383	1.8	
291.07216	4721398	33.1	404495	2.4	
291.08741	5533434	39.1	427593	2.8	
293.06668	7112909	50.8	422876	3.6	
293.08780	11864273	86.1	415084	6.1	
293.10309	3209429	21.8	464597	1.6	
295.04593	3833493	26.3	392791	2.0	
295.08232	10037917	72.1	426647	5.1	
295.10345	5391010	37.8	438931	2.8	
296.09016	2441089	16.0	398240	1.3	
