m/z	I	S/N	Res.	I %	
479.15589	10227371	33.2	281378	7.7	
479.16467	4190895	12.6	163083	3.1	
479.17109	17587890	58.4	255167	13.2	
479.18631	9064120	29.2	264200	6.8	
479.19221	4044474	12.0	299398	3.0	
479.20749	5772993	18.0	283085	4.3	
479.22268	3007175	8.5	247734	2.3	
480.12165	3536957	10.3	256386	2.7	
480.13822	2721860	7.5	373553	2.0	
480.14250	3405893	9.9	244791	2.6	
480.15335	3066954	8.7	269084	2.3	
480.15761	3539020	10.3	360128	2.7	
480.15950	3575885	10.4	394587	2.7	
480.17461	4210771	12.6	329363	3.2	
480.17901	3099733	8.8	293061	2.3	
480.18958	2965593	8.4	277273	2.2	
480.21097	2661474	7.3	310591	2.0	
481.09045	4406736	13.3	175124	3.3	
481.10204	3758548	11.1	308771	2.8	
481.10796	3461591	10.1	143558	2.6	
481.11421	5136858	15.8	258511	3.9	
481.12182	3542493	10.3	247798	2.7	
481.12927	8966624	28.9	180249	6.7	
481.13511	4362722	13.1	274766	3.3	
481.14454	5417446	16.7	178544	4.1	
481.15035	16237032	53.8	256701	12.2	
481.15718	2900203	8.1	139269	2.2	
481.16558	12968431	42.6	236023	9.7	
481.17152	6846961	21.6	230011	5.1	
481.18036	3665909	10.8	159040	2.8	
481.18673	12820984	42.1	269374	9.6	
481.20194	5593598	17.3	291015	4.2	
481.22330	3412487	9.9	293613	2.6	
482.12213	2993020	8.4	322981	2.2	
482.12980	2882432	8.1	343946	2.2	
482.13709	3672963	10.8	311425	2.8	
482.15218	2843529	7.9	482189	2.1	
482.15404	4217738	12.6	347766	3.2	
482.15835	3627915	10.6	302021	2.7	
482.16903	2864016	8.0	279142	2.1	
482.17320	3263378	9.4	257653	2.4	
482.18830	2585496	7.1	377678	1.9	
482.19033	3443609	10.0	310377	2.6	
483.09344	2587920	7.1	285480	1.9	
483.10597	3609877	10.6	238196	2.7	
483.10860	6642966	20.9	260394	5.0	
483.12369	5383453	16.6	159471	4.0	
483.12985	9311519	30.1	284164	7.0	
483.13746	3351842	9.7	184968	2.5	
483.14493	11822373	38.7	231092	8.9	
483.15088	5332264	16.5	239008	4.0	
483.15996	6018348	18.8	155189	4.5	
483.16608	16065838	53.2	262453	12.1	
483.17375	2587953	7.1	313467	1.9	
483.18132	10106164	32.8	247385	7.6	
483.18729	4218167	12.6	273561	3.2	
483.19642	2886971	8.1	255526	2.2	
483.20242	5866813	18.3	262400	4.4	
483.21754	3796291	11.2	322735	2.8	
484.11644	3331769	9.6	294651	2.5	
484.13146	2590399	7.1	383213	1.9	
484.14835	2793158	7.8	343970	2.1	
484.15261	3741384	11.0	270835	2.8	
484.16948	4232911	12.7	372139	3.2	
484.17390	2917072	8.2	269036	2.2	
485.08511	2875467	8.0	225821	2.2	
485.08814	2757708	7.6	162480	2.1	
485.09689	6762576	21.3	273225	5.1	
485.10069	3631185	10.6	140108	2.7	
485.10886	2956372	8.3	264770	2.2	
485.12134	5417050	16.7	178385	4.1	
485.12421	9988187	32.4	248381	7.5	
485.13935	6013025	18.8	206218	4.5	
485.14530	11438179	37.3	205370	8.6	
485.14918	7321701	23.3	283204	5.5	
485.15120	16279654	53.9	259406	12.2	
485.16050	14854250	49.0	249139	11.2	
485.16648	5085292	15.6	279938	3.8	
485.17579	4544624	13.8	242377	3.4	
485.18166	11982962	39.2	254408	9.0	
485.19686	8149113	26.1	253207	6.1	
485.21808	2846850	7.9	371731	2.1	
485.23346	2594952	7.1	266012	1.9	
485.29064	3383456	9.8	266608	2.5	
486.13197	3558909	10.4	270370	2.7	
486.14703	3207683	9.2	413988	2.4	
486.14900	3668484	10.8	344285	2.8	
486.15480	2890246	8.1	319578	2.2	
486.16407	3688970	10.8	336272	2.8	
486.16828	3527180	10.3	337324	2.6	
486.17852	2621712	7.2	183043	2.0	
486.18320	2861586	8.0	422812	2.1	
486.18526	3293715	9.5	306367	2.5	
486.20018	2720281	7.5	291411	2.0	
487.10344	5747600	17.9	241362	4.3	
487.11873	5864342	18.3	225999	4.4	
487.12473	7054232	22.3	264910	5.3	
487.13504	3229597	9.2	228438	2.4	
487.13990	13134750	43.1	268606	9.9	
487.14587	3840929	11.3	218855	2.9	
487.15506	7166885	22.7	195715	5.4	
487.16102	12323751	40.4	258060	9.3	
487.16808	4141994	12.4	225789	3.1	
487.17619	13769645	45.3	250791	10.3	
487.18218	4417456	13.3	226274	3.3	
487.19123	4150196	12.4	247924	3.1	
487.19737	6536118	20.6	274864	4.9	
487.21250	5401533	16.7	290574	4.1	
488.11139	2645297	7.2	283238	2.0	
488.12648	3151159	9.0	298157	2.4	
488.14340	3704126	10.9	324943	2.8	
488.14763	3761472	11.1	276703	2.8	
488.16254	3673414	10.8	356158	2.8	
488.16461	3603783	10.5	338466	2.7	
488.17962	4721997	14.4	295187	3.5	
489.09809	3183305	8.8	249550	2.4	
489.11615	4060881	11.7	213570	3.0	
489.11921	8371922	26.1	247891	6.3	
489.12736	2616021	6.9	247456	2.0	
489.13442	7927512	24.6	235985	6.0	
489.14020	7548635	23.3	253082	5.7	
489.15020	4200159	12.2	162513	3.2	
489.15547	15650529	50.3	253842	11.7	
489.16146	3493604	9.9	193302	2.6	
489.17078	8425191	26.3	260341	6.3	
489.17656	10010346	31.5	240457	7.5	
489.18418	3013357	8.3	257120	2.3	
489.19183	9862896	31.0	236740	7.4	
489.20710	2939638	8.0	225688	2.2	
489.21277	2926329	8.0	282504	2.2	
489.22825	3071743	8.5	319300	2.3	
490.12697	2793587	7.5	270376	2.1	
490.14210	3428473	9.6	345957	2.6	
490.14404	2650234	7.1	444252	2.0	
490.15908	4341888	12.7	265756	3.3	
490.16321	3518594	9.9	342145	2.6	
490.17424	2924678	8.0	315216	2.2	
490.18013	2533513	6.7	332994	1.9	
491.09839	3060229	8.4	268354	2.3	
491.11101	3826186	11.0	274205	2.9	
491.11377	5267979	15.8	268043	4.0	
491.11964	3157517	8.7	278751	2.4	
491.12906	3168273	8.8	134768	2.4	
491.13481	11772435	37.4	261056	8.8	
491.14151	2612758	6.9	195514	2.0	
491.14996	10539546	33.3	234752	7.9	
491.15593	8401436	26.2	265410	6.3	
491.16350	3813919	10.9	215860	2.9	
491.17109	15430178	49.6	248633	11.6	
491.17812	2605605	6.9	225664	2.0	
491.18629	6787625	20.8	248223	5.1	
491.19222	6654507	20.4	268500	5.0	
491.19938	2581550	6.8	209316	1.9	
491.20743	7557682	23.4	275330	5.7	
491.22275	2598456	6.9	254653	2.0	
492.13831	3212210	8.9	299237	2.4	
492.14283	3410868	9.6	284089	2.6	
492.15756	3009466	8.2	373333	2.3	
492.15949	3029947	8.3	331776	2.3	
492.17456	3752897	10.7	332142	2.8	
492.17880	3241923	9.0	283730	2.4	
493.09028	2868539	7.8	206027	2.2	
493.10808	2752834	7.4	213956	2.1	
493.11404	6112581	18.6	217719	4.6	
493.12926	6991179	21.5	229908	5.2	
493.13498	4218189	12.3	271623	3.2	
493.14429	4412241	12.9	196845	3.3	
493.15045	12830036	40.9	256231	9.6	
493.15708	3070294	8.4	179683	2.3	
493.16569	9467226	29.7	273755	7.1	
493.17152	7187804	22.1	242465	5.4	
493.17910	3165535	8.8	211529	2.4	
