m/z	I	S/N	Res.	A %	I %	
240.99896	4129903	17.6	577034	0.2	0.7	
241.00236	10946673	50.0	542518	0.7	1.8	
241.03537	11012227	50.3	534809	0.7	1.8	
241.03877	3263109	13.5	548867	0.2	0.5	
241.07176	14137494	65.1	542908	1.0	2.4	
241.10812	4382890	18.8	488120	0.3	0.7	
241.11938	7153840	32.0	546873	0.5	1.2	
241.14454	2446525	9.6	529276	0.1	0.4	
241.21730	5823716	25.7	582271	0.4	1.0	
243.01801	10060966	45.8	535750	0.7	1.7	
243.05102	9206968	41.7	535203	0.6	1.5	
243.06624	3932352	16.7	589029	0.2	0.7	
243.08742	6118603	27.1	550773	0.4	1.0	
243.12380	7177439	32.1	538310	0.5	1.2	
245.00914	2611406	10.4	586184	0.1	0.4	
245.01250	3067600	12.6	577185	0.2	0.5	
245.04550	4623586	20.0	511725	0.3	0.8	
245.04742	5455075	23.9	550827	0.3	0.9	
245.06668	8722669	39.4	536336	0.6	1.5	
245.08194	3318005	13.8	564937	0.2	0.6	
245.10307	3257601	13.5	592502	0.2	0.5	
245.13942	2879764	11.6	532081	0.2	0.5	
246.97726	2599658	10.3	536761	0.2	0.4	
246.98841	8723696	39.2	506956	0.6	1.5	
247.02257	2674434	10.6	545288	0.1	0.4	
247.02480	41968900	195.9	522044	3.2	7.0	
247.02817	7286021	32.4	524445	0.5	1.2	
247.03940	4069643	17.2	528866	0.3	0.7	
247.04593	3466510	14.4	580256	0.2	0.6	
247.06120	10720534	48.6	514930	0.8	1.8	
247.08232	55321888	258.9	515894	4.1	9.3	
247.09754	3226922	13.2	492715	0.2	0.5	
247.11872	2774325	11.1	613002	0.1	0.5	
248.02815	5303067	23.0	527331	0.3	0.9	
248.08567	4731705	20.3	590485	0.3	0.8	
249.00407	18520354	85.3	517139	1.4	3.1	
249.03221	10633522	48.2	516401	0.8	1.8	
249.04046	29600054	137.6	513059	2.3	5.0	
249.06159	6125890	26.9	550135	0.4	1.0	
249.07683	9601354	43.3	533917	0.7	1.6	
249.09800	2678613	10.6	476168	0.2	0.4	
250.00747	2678585	10.6	622186	0.1	0.4	
250.04379	3879757	16.3	515481	0.2	0.7	
251.01972	18890068	87.1	524039	1.5	3.2	
251.05611	20536678	94.8	514822	1.6	3.4	
251.07723	13315442	60.4	528170	1.0	2.2	
251.09248	9141626	40.8	496284	0.7	1.5	
252.05948	2624892	10.3	578245	0.1	0.4	
253.03480	2613633	10.3	1711394	0.0	0.4	
253.03537	21561728	99.0	513344	1.7	3.6	
253.03876	4298115	18.2	524581	0.3	0.7	
253.05654	3230092	13.2	476197	0.2	0.5	
253.07176	18219412	83.4	514121	1.4	3.1	
253.10815	3474855	14.3	542448	0.2	0.6	
253.21501	3169760	12.9	521797	0.2	0.5	
253.21730	52933088	246.0	502763	4.2	8.9	
254.03872	2621844	10.3	545252	0.1	0.4	
254.07511	2515367	9.8	606482	0.1	0.4	
254.22066	9057268	40.4	514920	0.7	1.5	
254.86533	3985736	16.7	500512	0.3	0.7	
255.05103	18548138	84.9	516801	1.4	3.1	
255.08742	8625597	38.4	519221	0.6	1.4	
255.09864	2525123	9.8	565463	0.1	0.4	
255.12374	2690000	10.6	542331	0.2	0.5	
255.23237	4843018	20.7	875576	0.2	0.8	
255.23295	49772040	231.2	505256	3.8	8.4	
256.11904	3741660	15.5	530464	0.2	0.6	
256.23631	9281562	41.5	506189	0.7	1.6	
257.03367	8208828	36.5	505682	0.6	1.4	
257.06668	13687245	62.1	500791	1.1	2.3	
257.08193	2709973	10.7	464662	0.2	0.5	
257.10301	3487200	14.3	527762	0.2	0.6	
257.13944	5205492	22.4	518993	0.3	0.9	
258.99178	9743804	43.4	521374	0.7	1.6	
259.01292	20454854	93.2	490701	1.7	3.4	
259.02482	3542477	14.5	558038	0.2	0.6	
259.02818	13479375	60.7	509608	1.1	2.3	
259.06119	6258144	27.1	507949	0.5	1.1	
259.08233	7810539	34.4	513082	0.6	1.3	
259.09756	2849779	11.3	443618	0.2	0.5	
259.11870	2763262	10.9	592057	0.1	0.5	
260.97104	2803135	11.1	508459	0.2	0.5	
261.00408	19775952	90.0	494019	1.7	3.3	
261.04046	13324771	60.0	513846	1.0	2.2	
261.04382	5173733	22.1	516551	0.4	0.9	
261.06163	4152814	17.3	486834	0.3	0.7	
261.07684	6646262	28.9	502330	0.5	1.1	
261.09799	4641281	19.6	545944	0.3	0.8	
261.13435	8751636	38.7	501510	0.7	1.5	
262.04381	2540521	9.8	543065	0.1	0.4	
263.01973	19355102	88.1	491393	1.7	3.3	
263.02308	2615777	10.2	494786	0.2	0.4	
263.05611	35816944	164.7	486592	3.2	6.0	
263.07724	7120381	31.1	509302	0.5	1.2	
263.09251	6635012	28.9	508624	0.5	1.1	
264.05946	4982771	21.0	507401	0.4	0.8	
264.99645	3890641	16.0	573827	0.2	0.7	
264.99899	62687696	287.6	484981	5.2	10.5	
264.99962	5536210	23.6	969722	0.3	0.9	
265.03538	40577508	185.5	485975	3.3	6.8	
265.05651	3541487	14.4	517039	0.2	0.6	
265.07176	23325174	105.8	489580	2.0	3.9	
265.09287	3445250	13.9	499583	0.2	0.6	
265.10815	3631625	14.8	564108	0.2	0.6	
265.14534	8114716	35.5	531491	0.6	1.4	
265.14790	152439328	702.3	482874	12.7	25.6	
265.18089	3661358	14.9	554521	0.2	0.6	
266.00234	7398351	32.2	495610	0.6	1.2	
266.03875	5460961	23.2	519064	0.4	0.9	
266.07515	3096564	12.3	458399	0.2	0.5	
266.15127	20274202	91.7	481442	1.8	3.4	
267.01464	15551949	69.9	496435	1.3	2.6	
267.05103	61230560	280.9	481959	5.1	10.3	
267.05166	6221280	26.8	811206	0.4	1.0	
267.05436	5603810	23.9	489408	0.4	0.9	
267.07215	41528812	189.9	484926	3.8	7.0	
267.08741	13389298	59.9	481059	1.1	2.2	
267.14370	6626831	28.6	498584	0.5	1.1	
268.01794	2764229	10.8	462980	0.2	0.5	
268.05439	8511447	37.3	481677	0.7	1.4	
268.07555	3971042	16.4	522695	0.3	0.7	
269.02964	4559294	19.1	1150287	0.2	0.8	
269.03029	49156544	225.1	479351	4.4	8.3	
269.03362	3293632	13.2	504016	0.2	0.6	
269.06668	19313104	87.2	479405	1.7	3.2	
269.08782	2967003	11.7	521068	0.2	0.5	
269.10306	6189539	26.6	492986	0.5	1.0	
269.13948	3835381	15.7	501803	0.3	0.6	
269.21225	2486297	9.5	533879	0.1	0.4	
269.24858	3283499	13.2	476346	0.3	0.6	
270.03364	5344176	22.7	517009	0.4	0.9	
271.02480	3288473	13.1	519572	0.2	0.6	
271.04594	23319972	105.0	468746	2.1	3.9	
271.04931	4747685	19.8	475505	0.4	0.8	
271.06118	4725163	19.7	515796	0.3	0.8	
271.08231	9385397	41.1	489007	0.8	1.6	
271.09757	7349693	31.7	480748	0.6	1.2	
271.11869	4320711	17.8	524183	0.3	0.7	
271.15510	4512217	18.7	501788	0.3	0.8	
271.22787	14640637	65.2	478261	1.3	2.5	
272.04934	3045263	12.0	476288	0.2	0.5	
273.00409	4322656	17.8	512513	0.3	0.7	
273.04047	5800305	24.6	486843	0.5	1.0	
273.04384	4772211	19.9	506853	0.4	0.8	
273.06155	6945148	29.9	498239	0.5	1.2	
273.07685	11270531	49.7	478962	1.0	1.9	
273.09798	3894669	15.9	481869	0.3	0.7	
275.01973	6954283	29.9	488850	0.6	1.2	
275.02310	12999980	57.6	471329	1.2	2.2	
275.05610	8719676	38.0	464549	0.8	1.5	
275.05799	5796157	24.6	460024	0.5	1.0	
275.07726	5756230	24.4	505301	0.4	1.0	
275.09248	5153101	21.6	431743	0.5	0.9	
275.11361	2436951	9.2	538523	0.1	0.4	
276.99900	10778838	47.4	464000	1.0	1.8	
277.02348	4211937	17.3	476812	0.3	0.7	
277.03468	5251303	22.1	807753	0.2	0.9	
277.03537	49651944	225.7	462574	4.8	8.3	
277.03875	23257320	104.7	455650	2.2	3.9	
277.05654	2807025	10.9	552924	0.2	0.5	
277.07175	13308152	59.0	447372	1.2	2.2	
277.07367	5009657	21.0	464408	0.4	0.8	
277.09288	3874050	15.8	470657	0.3	0.7	
277.10813	4025609	16.5	468363	0.3	0.7	
277.18431	2685229	10.3	535203	0.2	0.5	
278.03873	6963901	29.9	465842	0.6	1.2	
279.01465	22209666	99.1	461335	2.1	3.7	
279.05032	4134035	16.8	910379	0.2	0.7	
279.05102	44754068	201.7	462097	4.0	7.5	
279.05173	4367508	17.9	632696	0.3	0.7	
279.07219	3786909	15.3	468218	0.3	0.6	
279.08741	14415012	63.6	470726	1.3	2.4	
279.23295	17196264	76.3	477676	1.5	2.9	
280.01801	2997841	11.7	472411	0.2	0.5	
280.05434	6327906	26.8	485076	0.5	1.1	
280.23630	3109557	12.2	521352	0.2	0.5	
281.03029	25298976	113.2	460737	2.3	4.2	
281.03099	2758688	10.6	868619	0.1	0.5	
281.03359	2968097	11.5	434181	0.2	0.5	
281.06668	27945008	125.2	461212	2.6	4.7	
281.06739	2969648	11.5	928759	0.1	0.5	
281.08781	26331194	117.8	461044	2.5	4.4	
281.10305	8812608	38.1	481239	0.8	1.5	
281.13944	3972177	16.1	519030	0.3	0.7	
281.24860	14944386	66.0	460069	1.4	2.5	
282.03361	3087845	12.1	434609	0.3	0.5	
282.07001	3125750	12.2	487875	0.2	0.5	
282.09116	2499071	9.4	553535	0.1	0.4	
282.25196	3172935	12.5	473904	0.3	0.5	
283.00957	7994266	34.4	456657	0.8	1.3	
283.04594	19909546	88.6	457480	1.9	3.3	
283.08232	17451962	77.4	456803	1.7	2.9	
283.11873	3808203	15.3	482635	0.3	0.6	
283.26425	6304780	26.7	443752	0.6	1.1	
284.04935	2855271	11.0	390244	0.3	0.5	
284.08568	2946423	11.4	538510	0.2	0.5	
284.92349	4350695	17.8	509865	0.3	0.7	
285.02515	2444051	9.1	427117	0.2	0.4	
285.04045	2904858	11.2	518428	0.2	0.5	
285.06158	13352739	58.8	459281	1.3	2.2	
285.07685	4196138	17.1	467809	0.3	0.7	
285.09798	8673075	37.5	462118	0.8	1.5	
285.10919	2729784	10.4	538153	0.2	0.5	
285.13437	2841411	10.9	479832	0.2	0.5	
285.20713	6240099	26.4	474962	0.5	1.0	
286.16599	6734082	28.5	467919	0.6	1.1	
287.01978	4250224	17.2	427024	0.4	0.7	
287.02310	12845682	56.1	447106	1.2	2.2	
287.04421	4868731	20.0	488147	0.4	0.8	
287.05611	8379008	35.9	449969	0.8	1.4	
287.07725	9323145	40.2	474532	0.8	1.6	
287.09252	5624463	23.4	466429	0.5	0.9	
287.11361	2917016	11.2	458573	0.2	0.5	
287.15002	19321512	85.3	450629	1.9	3.2	
287.22284	2461895	9.1	429714	0.2	0.4	
288.15328	2929745	11.3	479236	0.2	0.5	
288.99897	4730291	19.4	448833	0.4	0.8	
289.03541	13383106	58.5	426759	1.4	2.2	
289.03875	45495748	203.6	441217	4.8	7.6	
289.05650	3560907	14.1	468253	0.3	0.6	
289.07177	11789777	51.3	438443	1.2	2.0	
289.09286	4209114	17.0	444517	0.4	0.7	
289.10819	4591073	18.8	444679	0.4	0.8	
289.12924	2775017	10.6	449631	0.2	0.5	
289.16567	5177849	21.4	436798	0.5	0.9	
290.04209	5506915	22.9	481107	0.5	0.9	
290.08814	3272566	12.8	506022	0.2	0.5	
290.99385	2571496	9.6	533981	0.2	0.4	
291.01464	29194480	129.9	447151	2.9	4.9	
291.01541	2660593	10.0	807826	0.2	0.4	
291.05104	25180416	111.8	442778	2.6	4.2	
291.05440	33839360	150.9	439588	3.7	5.7	
291.07213	3830024	15.3	453637	0.3	0.6	
291.07916	11188491	48.6	452897	1.1	1.9	
291.08741	9380110	40.4	442824	0.9	1.6	
291.08847	2978575	11.5	273651	0.3	0.5	
292.01801	4303494	17.5	464815	0.4	0.7	
292.05440	3745429	14.9	452809	0.3	0.6	
292.05775	3838614	15.4	469822	0.3	0.6	
292.89142	2477027	9.2	503089	0.2	0.4	
292.99392	4901900	20.2	476077	0.5	0.8	
293.00951	3315730	13.0	475695	0.3	0.6	
293.02707	2694169	10.2	450195	0.2	0.5	
293.03029	58244120	261.2	438891	5.8	9.8	
293.03107	5082138	21.0	671849	0.4	0.9	
293.06669	16911400	74.4	446107	1.7	2.8	
293.08779	6226993	26.1	427691	0.6	1.0	
293.10306	7113783	30.2	444171	0.7	1.2	
293.17920	61013076	273.7	437087	6.5	10.2	
294.03365	7640486	32.3	463463	0.7	1.3	
294.07009	2649012	9.9	414486	0.2	0.4	
294.18256	9338336	39.9	456846	0.9	1.6	
295.00956	48086816	213.7	438181	5.1	8.1	
295.04516	4120367	16.5	967643	0.2	0.7	
295.04595	45842224	203.7	435996	4.9	7.7	
295.06707	3760952	14.9	507180	0.3	0.6	
295.08155	2520893	9.3	1263858	0.1	0.4	
295.08233	20823870	91.4	439736	2.2	3.5	
295.10346	6623046	27.7	454036	0.6	1.1	
295.11868	5023564	20.6	473584	0.5	0.8	
295.17498	2803553	10.6	482967	0.2	0.5	
295.22789	3127158	12.0	453589	0.3	0.5	
296.01289	7094436	29.8	437370	0.7	1.2	
296.04930	6205618	25.9	441685	0.6	1.0	
296.08571	3029183	11.6	485887	0.2	0.5	
296.98975	6222359	25.9	415349	0.6	1.0	
297.02521	13419044	58.2	436309	1.4	2.3	
297.02863	2815525	10.6	412282	0.3	0.5	
297.06159	29155890	128.8	427506	3.2	4.9	
297.08269	6179386	25.7	477095	0.6	1.0	
297.09798	25879104	114.1	433052	2.8	4.3	
297.09880	2873920	10.9	801946	0.2	0.5	
297.13434	2448973	9.0	490185	0.2	0.4	
297.15299	10555988	45.4	444883	1.0	1.8	
297.24351	22209142	97.6	426271	2.5	3.7	
298.06490	5149610	21.1	450954	0.5	0.9	
298.10133	3506104	13.7	492172	0.3	0.6	
298.15644	2453452	9.0	393396	0.2	0.4	
298.24690	4570094	18.5	463962	0.4	0.8	
299.00544	14390535	62.6	444840	1.5	2.4	
299.01979	2706700	10.2	499024	0.2	0.5	
299.04085	4918548	20.1	427790	0.5	0.8	
299.05609	3645722	14.4	470260	0.3	0.6	
299.07724	12997921	56.3	447406	1.3	2.2	
299.09250	5391655	22.2	490556	0.5	0.9	
299.11363	5731631	23.7	440232	0.5	1.0	
299.15000	2811708	10.6	419500	0.3	0.5	
299.25914	2514276	9.3	472977	0.2	0.4	
300.08056	2520209	9.3	418494	0.2	0.4	
300.99560	28272604	124.8	489739	2.6	4.7	
300.99899	595511232	2669.6	423620	64.1	100.0	
301.00250	16066526	70.1	494835	1.7	2.7	
301.00598	3235807	12.5	393566	0.3	0.5	
301.03539	5104618	20.9	432440	0.5	0.9	
301.05651	20277234	89.0	433316	2.2	3.4	
301.07177	13486071	58.5	438417	1.4	2.3	
301.09290	7061503	29.7	420698	0.8	1.2	
301.10815	8544260	36.3	435674	0.9	1.4	
301.20204	5056550	20.7	419889	0.5	0.8	
302.00235	90392896	403.5	421400	9.8	15.2	
303.00324	9179813	38.9	443332	1.0	1.5	
303.00573	6128294	25.3	424769	0.6	1.0	
303.01465	5126825	20.8	447134	0.5	0.9	
303.01798	3702442	14.5	461433	0.3	0.6	
303.05103	12753590	54.8	425773	1.4	2.1	
303.05441	9095863	38.5	409281	1.0	1.5	
303.07215	8327870	35.1	434172	0.8	1.4	
303.08741	18578114	80.7	428806	2.1	3.1	
303.10860	2594506	9.6	439575	0.2	0.4	
304.09082	3136545	12.0	429156	0.3	0.5	
304.99395	6647128	27.6	419661	0.7	1.1	
305.03029	22777188	99.4	415722	2.7	3.8	
305.03367	20262246	88.2	422824	2.3	3.4	
305.06669	12496241	53.6	394508	1.5	2.1	
305.06923	6712690	27.9	765656	0.4	1.1	
305.07005	65097072	287.8	421122	7.1	10.9	
305.08784	3486072	13.5	493742	0.3	0.6	
305.10306	7970173	33.5	422144	0.9	1.3	
306.03366	4391610	17.6	442521	0.4	0.7	
306.03698	2673339	9.9	476831	0.2	0.4	
306.07340	8152775	34.3	450055	0.8	1.4	
307.00957	10780674	46.0	424186	1.2	1.8	
307.04511	5300238	21.6	866220	0.2	0.9	
307.04594	54956048	242.7	418560	6.1	9.2	
307.04932	27201552	119.1	408175	3.2	4.6	
307.06586	3003413	11.4	431259	0.3	0.5	
307.06705	6162453	25.4	443009	0.6	1.0	
307.08233	18362394	79.8	425747	2.0	3.1	
307.11870	4286503	17.1	406043	0.4	0.7	
307.15848	3165236	12.1	407022	0.3	0.5	
308.04930	9341276	39.6	416425	1.0	1.6	
308.05276	3369309	13.0	436694	0.3	0.6	
308.08565	3291496	12.7	428584	0.3	0.6	
309.02521	22188700	96.8	410507	2.6	3.7	
309.04636	3871395	15.2	436255	0.4	0.7	
309.06160	44176040	194.7	414191	5.4	7.4	
309.08276	5173935	21.0	429944	0.5	0.9	
309.09798	11850420	50.8	424256	1.3	2.0	
309.11911	26768058	117.2	420915	3.2	4.5	
309.17328	9835212	41.8	757687	0.7	1.7	
309.17412	100979408	447.5	412291	11.4	17.0	
309.17496	8622797	36.4	622683	0.8	1.4	
310.02856	3502050	13.6	412626	0.3	0.6	
310.06494	6218734	25.7	410874	0.7	1.0	
310.12244	3874816	15.3	462575	0.4	0.7	
310.17746	15717394	68.0	417126	1.8	2.6	
311.04000	5080358	20.6	815007	0.3	0.9	
311.04086	45815080	202.0	416445	5.3	7.7	
311.06201	3994925	15.8	421073	0.4	0.7	
311.07725	57988400	256.1	407946	7.0	9.7	
311.07811	5018930	20.3	809330	0.4	0.8	
311.09245	4011319	15.9	391660	0.5	0.7	
311.09836	7599417	31.8	419195	0.8	1.3	
311.11364	7150910	29.8	423214	0.8	1.2	
311.16777	2917711	11.0	951278	0.1	0.5	
311.16864	31249742	137.1	410899	3.6	5.2	
311.16955	3368271	13.0	471378	0.2	0.6	
311.22279	17634656	76.5	413815	2.1	3.0	
312.04420	7122532	29.5	418963	0.8	1.2	
312.08060	8128112	33.9	436562	0.8	1.4	
312.17200	5611149	22.8	438200	0.5	0.9	
312.22610	3543710	13.7	456818	0.3	0.6	
312.98469	4812683	19.3	400352	0.5	0.8	
312.99899	5373839	21.7	426792	0.6	0.9	
313.02013	4129686	16.3	473319	0.4	0.7	
313.03533	3103643	11.7	362231	0.3	0.5	
313.05651	15697825	67.3	417215	1.8	2.6	
313.07176	4690854	18.7	416601	0.5	0.8	
313.09290	12584876	53.6	414583	1.4	2.1	
313.11411	2606003	9.5	442420	0.2	0.4	
313.23845	10164186	42.9	452218	1.1	1.7	
314.97935	5016049	20.2	416546	0.5	0.8	
315.01464	26049020	113.0	406202	3.2	4.4	
315.05104	5310983	21.5	421576	0.6	0.9	
315.07216	40016396	174.7	407413	4.7	6.7	
315.07304	3697165	14.3	780852	0.2	0.6	
315.08740	11233810	47.6	398416	1.4	1.9	
315.10852	6085144	24.9	421098	0.6	1.0	
315.18131	12380718	52.7	421642	1.4	2.1	
316.01798	4145963	16.3	410437	0.4	0.7	
316.07552	6507325	26.7	415670	0.7	1.1	
316.99382	2994255	11.2	460978	0.3	0.5	
317.03029	9081946	38.1	422491	1.0	1.5	
317.03368	3112027	11.8	438352	0.3	0.5	
317.05142	2777184	10.3	444047	0.2	0.5	
317.05482	6564961	27.0	424894	0.7	1.1	
317.06447	5185636	20.9	405934	0.6	0.9	
317.06667	19725412	85.1	400134	2.5	3.3	
317.07007	8602725	36.0	400839	1.0	1.4	
317.08782	5006443	20.1	414647	0.5	0.8	
317.10308	8436847	35.3	425866	1.0	1.4	
318.07003	3376525	12.9	409506	0.3	0.6	
319.00954	5437087	22.0	412389	0.6	0.9	
319.04594	69869224	306.5	400433	8.6	11.7	
319.06706	3530416	13.6	429899	0.3	0.6	
319.08233	17555124	75.5	398859	2.2	2.9	
319.10348	5897915	24.1	386663	0.7	1.0	
319.11867	7157439	29.6	385656	0.9	1.2	
320.04931	11739083	49.8	415807	1.3	2.0	
320.08569	3108822	11.7	422681	0.3	0.5	
321.02521	22446306	97.1	403205	2.9	3.8	
321.06156	24371436	105.6	359056	3.4	4.1	
321.06405	10420461	44.0	683741	0.8	1.7	
321.06497	105242864	462.7	395069	12.9	17.7	
321.07886	3655921	14.2	523183	0.3	0.6	
321.08273	79487216	349.0	394939	10.0	13.3	
321.09799	10862839	46.0	408657	1.3	1.8	
321.21050	4188439	16.5	401452	0.5	0.7	
322.02853	2994685	11.1	432481	0.3	0.5	
322.06496	3554824	13.6	409774	0.4	0.6	
322.06832	13087240	55.3	405149	1.6	2.2	
322.08607	10150413	42.5	411499	1.2	1.7	
323.00446	7465742	30.7	415672	0.8	1.3	
323.04086	118481688	516.7	394263	14.6	19.9	
323.04420	7154457	29.3	285850	1.0	1.2	
323.06917	2470688	8.8	331525	0.3	0.4	
323.07724	44114720	191.1	396368	5.8	7.4	
323.09838	12829480	54.2	411825	1.5	2.2	
323.11364	7508780	30.9	415439	0.9	1.3	
323.13477	4193074	16.4	411145	0.4	0.7	
323.22276	2799434	10.3	462046	0.2	0.5	
323.25919	2855765	10.5	470920	0.2	0.5	
324.04422	16540717	70.4	398462	2.1	2.8	
324.08059	7793719	32.1	398509	0.9	1.3	
324.11691	2525249	9.1	407492	0.2	0.4	
324.99900	6571314	26.8	406655	0.7	1.1	
325.01914	2807095	10.3	1237070	0.1	0.5	
325.02012	28771640	124.0	393493	3.7	4.8	
325.04127	7800125	32.2	419151	0.9	1.3	
325.05651	35865920	155.0	392809	4.8	6.0	
325.07671	4973895	19.8	826483	0.3	0.8	
325.07765	50193736	217.7	398537	6.1	8.4	
325.07856	5236040	20.9	690211	0.4	0.9	
325.09290	28353868	122.1	400340	3.7	4.8	
325.11406	5721425	23.1	409409	0.6	1.0	
325.12929	5099861	20.3	379486	0.6	0.9	
325.18429	30008676	129.4	393411	4.0	5.0	
326.02346	4535879	17.9	449253	0.5	0.8	
326.05985	4906577	19.5	414838	0.5	0.8	
326.08098	4816470	19.1	405259	0.5	0.8	
326.09626	5107290	20.4	410839	0.6	0.9	
326.18765	6198899	25.2	428481	0.7	1.0	
326.97826	5211974	20.8	408813	0.6	0.9	
326.98164	2694983	9.8	332233	0.3	0.5	
327.01463	4365136	17.1	376744	0.5	0.7	
327.03575	4683606	18.5	412457	0.5	0.8	
327.05105	3896153	15.1	439978	0.4	0.7	
327.05446	3090266	11.5	411004	0.3	0.5	
327.07216	13109087	55.4	387581	1.7	2.2	
327.08743	10237795	42.8	407405	1.2	1.7	
327.09332	4099941	16.0	391542	0.5	0.7	
327.10855	9516905	39.7	406190	1.1	1.6	
327.12379	2570093	9.3	376548	0.3	0.4	
327.18131	18106236	77.3	386573	2.4	3.0	
327.21772	7411590	30.5	421543	0.8	1.2	
328.18466	3691653	14.2	475802	0.3	0.6	
328.99389	7557465	31.1	394793	0.9	1.3	
329.03030	5656930	22.8	443093	0.6	0.9	
329.05144	3586408	13.7	438235	0.3	0.6	
329.06669	8565100	35.5	402610	1.0	1.4	
329.08781	14993777	63.7	387427	1.9	2.5	
329.10304	8810869	36.6	392444	1.1	1.5	
329.12421	2949499	10.9	416351	0.3	0.5	
329.13949	3582335	13.7	457276	0.3	0.6	
329.16059	3360132	12.7	402355	0.3	0.6	
329.23335	34245016	147.9	391435	4.7	5.8	
330.23671	7035546	28.8	387669	0.9	1.2	
331.00953	5131104	20.5	387363	0.6	0.9	
331.04594	8616809	35.7	412493	1.0	1.4	
331.04937	3733354	14.4	432257	0.4	0.6	
331.06707	55290736	240.0	385074	7.5	9.3	
331.06803	4803439	19.0	755399	0.3	0.8	
331.08232	18008946	76.8	387528	2.4	3.0	
331.11871	15403900	65.4	388665	2.0	2.6	
331.24900	18901918	80.8	388754	2.5	3.2	
332.07043	8371310	34.3	397855	1.0	1.4	
332.08568	3650673	13.9	413681	0.4	0.6	
332.12203	2865275	10.5	400937	0.3	0.5	
332.25242	3580059	13.6	450394	0.3	0.6	
333.02521	17395038	73.5	392312	2.4	2.9	
333.05923	13716838	57.5	374644	2.0	2.3	
333.06159	30895462	132.0	380155	4.3	5.2	
333.06263	3374439	12.7	577292	0.3	0.6	
333.06389	3044711	11.2	638607	0.2	0.5	
333.06496	28953960	123.6	381838	3.8	4.9	
333.06594	3628392	13.8	675843	0.3	0.6	
333.09794	21974384	93.3	362958	3.4	3.7	
333.10134	70069616	302.0	382077	9.5	11.8	
333.10234	6966641	28.2	501890	0.7	1.2	
333.12613	5940599	23.8	428529	0.6	1.0	
334.02851	3151447	11.7	433245	0.3	0.5	
334.06490	5097056	20.1	410776	0.6	0.9	
334.06831	4012641	15.4	428988	0.4	0.7	
334.10136	4550249	17.8	365818	0.6	0.8	
334.10470	10763882	44.7	380226	1.4	1.8	
335.00446	2890568	10.6	385109	0.3	0.5	
335.03662	2647888	9.5	584701	0.2	0.4	
335.04085	57618256	248.0	379481	7.8	9.7	
335.04187	5619537	22.4	667532	0.4	0.9	
335.04278	6883153	27.9	273965	1.0	1.2	
335.07717	23678810	100.7	296594	3.8	4.0	
335.08061	224587616	972.2	375594	30.8	37.7	
335.09706	3774302	14.4	430254	0.4	0.6	
335.09841	6711135	27.1	386897	0.8	1.1	
335.11363	13066082	54.7	379288	1.7	2.2	
335.17116	8222577	33.7	385899	1.0	1.4	
335.20752	5087097	20.1	420797	0.6	0.9	
336.04422	9023557	37.2	395662	1.1	1.5	
336.08071	3615822	13.7	408580	0.4	0.6	
336.08396	30773326	131.5	378401	4.3	5.2	
336.08502	3039311	11.2	934433	0.2	0.5	
336.97253	3195174	11.9	438264	0.3	0.5	
337.02012	61927728	266.6	377569	8.8	10.4	
337.02114	5435698	21.6	785208	0.4	0.9	
337.05650	35959096	154.0	380502	5.0	6.0	
337.05840	7045435	28.6	297860	1.2	1.2	
337.07111	5433662	21.6	429498	0.6	0.9	
337.07640	8925503	36.7	360090	1.2	1.5	
337.07770	6957375	28.2	317550	0.9	1.2	
337.09289	22884674	97.3	379196	3.1	3.8	
337.11400	5052744	19.9	391546	0.6	0.8	
337.12924	5196108	20.6	385567	0.7	0.9	
337.13262	4299085	16.7	418098	0.5	0.7	
337.20542	31158622	133.2	378574	4.5	5.2	
338.02346	9986594	41.3	386218	1.3	1.7	
338.05988	5831211	23.3	416115	0.7	1.0	
338.09623	4453939	17.3	371447	0.5	0.7	
338.20872	4009550	15.4	412259	0.5	0.7	
339.03576	20525842	87.1	375073	2.9	3.4	
339.05692	3666711	13.9	400389	0.4	0.6	
339.07215	78803736	339.8	374862	11.2	13.2	
339.09329	75625248	326.1	372621	10.6	12.7	
339.10854	14258979	59.9	376344	1.9	2.4	
339.11190	4091684	15.8	390274	0.5	0.7	
339.12972	3032872	11.2	378937	0.3	0.5	
339.19993	17126200	72.3	385677	2.3	2.9	
339.25409	8958790	36.9	387524	1.1	1.5	
340.03909	2798590	10.2	380520	0.3	0.5	
340.07552	12960775	54.2	390077	1.7	2.2	
340.09664	10232843	42.4	394259	1.3	1.7	
340.20334	4269093	16.5	420782	0.5	0.7	
341.03031	5696741	22.7	385425	0.7	1.0	
341.05144	12965098	54.3	386098	1.7	2.2	
341.06675	4818158	18.9	382074	0.6	0.8	
341.08781	35075316	150.2	373475	5.1	5.9	
341.10304	7589110	30.9	396691	1.0	1.3	
341.10894	23254264	98.9	382649	3.2	3.9	
341.12420	7279867	29.6	400949	0.9	1.2	
341.13945	3494143	13.2	376905	0.4	0.6	
341.26968	2506013	8.9	469441	0.2	0.4	
342.09116	6280667	25.3	384599	0.8	1.1	
342.11235	2918879	10.7	423635	0.3	0.5	
343.00955	4530861	17.5	392655	0.5	0.8	
343.04596	7919286	32.1	360819	1.1	1.3	
343.06705	7814842	31.6	378033	1.0	1.3	
343.08233	9610942	39.3	375238	1.4	1.6	
343.10346	7820995	31.6	381848	1.0	1.3	
343.11870	4203206	16.1	403009	0.5	0.7	
