m/z	I	S/N	Res.	I %	
103.00371	2600138	11.5	1337458	0.5	
111.00879	4593700	21.9	1271373	0.9	
129.01934	3725057	17.4	1023073	0.7	
133.05065	2526711	11.2	1107015	0.5	
143.10776	9885843	49.5	921935	1.9	
145.05064	3411637	15.8	883786	0.6	
147.02990	6938351	34.1	885569	1.3	
147.06629	7668464	37.9	895302	1.5	
149.00843	10841920	54.4	922731	2.1	
149.00917	137672512	714.5	834763	26.1	
149.02441	2712641	12.1	958376	0.5	
149.04556	6747970	33.1	878477	1.3	
149.06082	2762307	12.4	866087	0.5	
150.01252	6496115	31.8	833191	1.2	
151.04008	12022702	60.6	853210	2.3	
152.01151	4216813	20.0	911583	0.8	
153.01934	13277237	67.1	815441	2.5	
153.05572	5824568	28.3	832948	1.1	
155.03499	3441373	15.9	832447	0.7	
156.06661	3491135	16.2	875757	0.7	
157.01425	3977633	18.7	895694	0.8	
157.05063	37022116	190.7	795437	7.0	
157.12318	4624813	22.1	1759491	0.9	
157.12341	56543660	292.3	801896	10.7	
158.05399	3388180	15.6	803217	0.6	
158.12676	6332957	31.0	794258	1.2	
159.02990	55413384	286.2	780103	10.5	
159.06629	4234894	20.0	841234	0.8	
160.03326	3245835	14.9	895379	0.6	
161.04467	3627414	16.9	821831	0.7	
161.04555	40786836	210.1	772640	7.7	
161.06268	3470744	16.1	767787	0.7	
161.08193	4620699	22.0	832163	0.9	
162.03224	4369959	20.7	685386	0.8	
162.04889	2518057	11.1	857508	0.5	
163.04006	12752068	64.1	777353	2.4	
163.06120	9946311	49.6	777091	1.9	
165.01933	7055892	34.5	779052	1.3	
165.04046	12381720	62.0	767248	2.4	
165.05572	12112410	60.6	772509	2.3	
166.02716	8859341	43.8	769915	1.7	
167.03498	20289422	102.6	768472	3.9	
167.07135	2583446	11.3	816334	0.5	
168.00641	2873682	12.8	765470	0.5	
169.01328	10943780	54.2	802463	2.1	
169.01425	157507872	807.2	743437	29.9	
169.05062	6327596	30.5	719029	1.2	
